label,text,words
0,"I don't mind sequels; sometimes they're better than the original. However, many times the originals are best left alone....especially when you can't duplicate the cast. One of the big reasons ""The Magnificent Seven"" was such a hit was the very popular cast.<br /><br />This is hardly the ""magnificent seven,"" when only Yul Brynner returns as one of the members of that famous group in ""The Magnificent Seven."" With six of the seven guys absent and replaced by much lesser-known actors, this loses its appeal in a hurry. In other words, except for Brynner, these guys have no charisma! This is a like a championship sports team fielding all substitutes except one.<br /><br />Brynner is good, once again: fun to watch, fun to hear with that distinctive deep voice of his, but the story, not just the rest of the crew, is lame. This movie should never have been made. In the original, we cared about the ""seven;"" in here, we couldn't care less.",163
1,"Early 80's creature feature concerns a long abandoned gold mine that some intrepid miners are determined to check out. Naturally, they find no gold down there but one very hungry monster that slithers along in search of prey.<br /><br />While I have to be honest and admit I found it dull at first (I personally prefer the thematically similar ""The Boogens""), it actually grew on me as it went along. Now, the characters aren't too interesting nor the actors either. The closest to an interesting character is Morgan, played by Keith Hurt. In any event, female lead Terri Berland is quite good looking and Rolf Theison makes his domineering jerk an easy person to hate. The writer played by effects man Mark Sawicki wears thin quickly.<br /><br />It begins in a comfortably predictable enough way, with a nighttime set piece in which two victims are claimed to get things off to an acceptable start. The monster itself is intriguing for its design (as you can imagine, it gets revealed a bit at a time until late in the game) and for being the product of stop motion animation when this process was no longer used very much. Director Melanie Anne Phillips (directing under the pseudonym of David Michael Hillman) and crew deserve some credit for their creation of atmosphere. They manage to make the film look quite claustrophobic and gloomy, and their use of lighting works well. The film does build in intensity towards a pretty good ending. Suffice it to say, they do the best they can on their low budget.<br /><br />An obscure little item worth looking into for die-hard horror buffs.<br /><br />7/10",276
0,"<br /><br />In the process of boring you with the wordy, rambling storyline and the complete absence of character development, it manages to enforce a few negative black stereotypes out there. At one point I was wondering if Jesse Helms co-wrote the screenplay.",43
1,"Lady and the Tramp II: Scamp's Adventure is a cool movie that many kids today can really relate to. It's a well-presented story about a kid who longs for the freedom to do things his way, and how he goes about getting this freedom is only a part of what makes this film interesting. Just forget the itty-bitty disappointments, like the fact that there were only adults in this movie based on a pup's point of view, because that's just 0.5% or less of the movie's wonderful effect on the viewer. Great music, lively acting, talented animation and directing, and a powerful storyline tell a tale of the difference between freedom on the streets of New England and a cozy home with your family. And that no matter how bad things seem, your family and friends are ""always there"" to help you though any tight spot.<br /><br />I can't wait to get the soundtrack!",154
1,"This is a movie that really makes you think about your life, our culture, family structures and situational actions. I will not give the plot in this post, I think others have beat me to it already. I hope that despite reading opinions on this site, you will take the chance and see this movie for yourself. I went to see this movie with my husband and a friend and I must say, after the movie was over there was total silence in the theater. After a few minutes I looked behind me and everyone in the theater was staring at the screen, lost in thought. This will make you delve deep into your psychological abyss to ponder several things:<br /><br />How much does society influence my life and the lives of my generation?<br /><br />How long does someone have to pay for mistakes that they have made?<br /><br />If there is a second chance given, is it ever realized?<br /><br />Is it better to live in a box or to not live at all? <br /><br />My questions are not intended to show my approval or disapproval of Leland's actions. I do not want my opinion of them to in any way dictate what you will take away from this film so I am not giving it. See it for yourself. I am still lost in thought, attempting to answer my many questions from the film. I enjoyed it greatly and hope that you will too. This film is not trying to answer questions, condone any action or promote any punishment. This movie is trying to make us all evaluate our lives and take off the rose colored glasses that most of us view the world through.<br /><br />Great movie. 9 out of 10 stars",296
1,"This movie possesses something most other movies of its genre do not: intelligence and good messages. Accepted, is the story of a kid named Bartleby (Justin Long) who gets rejected by every college he applies to. His parents are incredibly strict, frustrated and disappointed. So, Bartleby and a few other students who face similar problems start a fake college, to pawn themselves off to their parents as college kids. Not everything goes to plan, and the movie is about them winging it. But behind this plot which sounds ridiculous, there are good messages, morals and a new outlook on the American educational system. The college they create ""South Harmon Institute of Technology"" accepts those who did not get accepted anywhere else. The message is that you do not need ""money, tradition, or fancy books- you just need a desire to better yourself."" they are a completely unorthodox school, but what the movie teaches is that thats still OK- and different (whether its a person or a school) is not necessarily bad, and that every one no matter should be given the chance to better themselves- despite whether they are 'weird.' its a message of non-comformity and has traces of anti-authority sprinkled in as well. But not only are messages great- its hilarious! haha i laughed very hard. the humor can be subtle but can also be blatant as well, and is a great mix. Fraternities beware.",236
1,"The three shorts included on this compilation issued in 1959 are timeless Chaplin classics, nothing wrong with them and nothing to criticize either. Chaplin's score for these films and the framework added as bridging sections between the shorts are also well done. The problem with this compilation is a minor one, yet annoying. The shorts have been stretch-printed to fit the 24 frame p.s. speed of contemporary films whereas the shorts themselves where shot at 20 frames p.s. This results is jerky motion that doesn't look very attractive, and yet this was an excusable solution given the limitations of optical printing technology at the time, it's just not excusable that the current DVD version is unrestored, the films look dirty as they did in 1959 and are still stretch printed. There are separate restored versions of these classics available, even on DVD, and it would not be a problem to restore the image, but alas this has not been done.<br /><br />A minor quibble has taken up a lot of space in my article, but I say again a minor quibble, it should not detract all that much from the experience although it detracted one point from my rating. The shorts are still worth '10'.",205
1,"I can't say that this movie deserves a ten, because I would be lying. I adored this movie when I saw it, though! It carries the unique bond of a friendship between a teenager and a dolphin. Although it doesn't display the sweetness that Jesse and Willy had in Free Willy, it provides an exciting movie that the whole family will enjoy! If you love marine animals, or if u love just a perfect family film, this movie is suited for YOU! Flipper definitely shows us how adorable dolphins are, and they are playful and could easily be house pets if everyone had a big enough pool! I love whales and dolphins, so obviously this movie works for me. I do think that the producers should have chosen another shark instead of the hammerhead to enhance the antagonist part in the story. Perhaps a great white? FLIPPER IS MAGNIFICENT! So check it out!",153
0,"People call a 976 ""party line"" to talk dirty to strangers, and perhaps meet up for a sexual liason. A deranged, somewhat incestuous sister and occasional transvestite brother use the line to find people to kill, usually married men, but they don't discriminate! A pair of sixteen year old girls also call the line for fun, pretending to be older, of course. One of them works as a babysitter for a married man who's hot for her (or anyone).<br /><br />Meanwhile, a vice cop is borrowed by homicide when he's the first to discover one of the siblings' victims. He's teamed with a female assistant of the District Attorney.<br /><br />Nothing too special here. Richard Roundtree has little more than a cameo as the police chief. One of the dirty-talking sixteen year olds is played by an actress who also voiced Peanuts character Peppermint Patty! According to the IMDb, the other died quite young, just several years after this movie: sad.",161
0,"it seems like if you are going to post here it going to be a 10 star rating ,nobody ever seems to dislike anything ,well i am honest, some don't like that but here we go, rachel ray show is just plain awful.!!!!!!, this show reminds me of the snl character linda whatever if she had a cooking -whatever show.i must say i liked rachel on the food network on $35-$40 a day but i am sorry she does not have enough life experience to make her interesting day in and day out,give me ham on the street, anthony bourdain , interesting folks,but most of all i find her annoying, she actually told a member of the studio audience to ""shut up"" yes in a kidding way but shut up is shut up, and who cares about her pet stories, sorry rachel you been cancelled!!!!",145
0,"Granny is definitely one of the worst horror movies ever made in the history of cinema.<br /><br />The script was diabolical, so bad in fact that I was almost crying with laughter at some of the things they came out with. The acting was almost as bad, they would have been better off casting traffic cones to play the roles (they would have done a better job). The murders were laughable, the suspense was non existent, the camera work was ineffective and the ""major"" plot twist at the end was disgustingly inappropriate, it just gets worse and worse.<br /><br />""The Granny"" is possibly one of the most unthreatening ""villains"" caught on film, she looks like she is wearing a cheap mask from the supermarket (the nylon hair caused endless amounts of laughter) and a frilly nightgown. Would you be scared by that??? I certainly wasn't.<br /><br />If you like watching bad movies (see Manos, Troll 2, Michael Bay films &#61514; ) then this is a must see. Those who don't like bad movies and don't enjoy laughing at shockingly bad dialogue, avoid like the plague.",185
0,"Whoever wrote the screenplay for this movie obviously never consulted any books about Lucille Ball, especially her autobiography. I've never seen so many mistakes in a biopic, ranging from her early years in Celoron and Jamestown to her later years with Desi. I could write a whole list of factual errors, but it would go on for pages. In all, I believe that Lucille Ball is one of those inimitable people who simply cannot be portrayed by anyone other than themselves. If I were Lucie Arnaz and Desi, Jr., I would be irate at how many mistakes were made in this film. The filmmakers tried hard, but the movie seems awfully sloppy to me.",114
0,"Anthony Wong stars in both this and the original (far superior) Untold Story, but the similarities stop there. Wong doesn't reprise his role obviously, and instead plays a bumbling policeman who gets involved with a rather suspicious female, Fung (1994's Miss Singapore, Paulyn Sun) who's a repressed nut-job, sure. But her tame jealous ""wanna be with a guy who's with a girl"" killer is no where near as compelling as what Wong played in the first one. The movie itself seems tired and by the numbers. Yeung Fan as the physcho's love interest's unfaithful girl tries to keep one from total boredom by stripping down whenever possible, and Sun does have a nice ass, but even that can't save this dud.<br /><br />My Grade: D <br /><br />Mei Ah DVD Extras: Sub-titled interviews with Cheung Kam Ching & Paulyn Sun; Anthony Wong filmography; a very brief synopsis; Theatrical trailer for the film; & trailers for ""Chinese Erotic Ghost Story"" and ""Twenty Something""",162
0,"Wow, this film was terrible. It is as simple as that. It is actually the first time that I walked out early, as far as I can remember. This turned out okay, though: I had a very nice chat with two most charming girls while we all waited for the rest to finally give up on that crap they called a ""movie"".<br /><br />Where to start. Bad acting, bad jokes. Faecal humour, which I simply cannot stand. Sorry, but snot, pee and scat are *not* funny. You have seen the title picture? That scene actually drags on for about 5 minutes, with the two ""heroes"" hitting and mutilating each other, which is supposed to be humorous all by itself. It is not.<br /><br />Apart from body fluids, violence and cross-dressing, I do not remember much about this. At least not much good. I was really, really disappointed by this piece of garbage. Or let us be honest here: given that I am actually a big fan of ""british"" (i.e., black) humour, I was angry.<br /><br />So, want my advice? Three words: do not watch.",184
0,"My mistake for thinking this was a serious war-is-hell movie prior to seeing it. That all ended seconds into the film when the ""MTV"" logo appeared. It might as well been called ""National Lampoon's Sexy-N-Loose."" And it did play to the ""MTV"" crowd; the movie that followed those comical first few seconds played like the music videos they used to play 40+ years ago. At least Disney was smart enough to ship its Rated R stuff over to Touchtone and allowed us to take it seriously. Okay, I'm being harsh; it wasn't that bad of a film. However, it definitely has its share of overacting and the film is extremely biased/one-sided. Admittedly, I'm not a war movie buff. I can't watch 'Platoon,' 'Full Metal Jacket' or 'Saving Private Ryan' more than once. Sure they were good movies, but they're not my forte and they all seem to blend in after awhile to where I wouldn't be able to distinguish one from the next. Following a tour in Iraq, Phillippe plans life after the war but is drawn back in due to a clause in his contract. Or, at least, that's the military's plan until he goes AWOL and the characters speed cross-country on a few bucks amazingly never caught. No, I haven't been in any war, nor to Iraq, nor do I agree with it. I also don't have all the knowledge when it comes to recruitment or signing their contracts. I can say this: though I am sorry they're drawn back into this conflict, I can't feel too much for someone so dumb not to read the fine print. It's like someone on their deathbed leaning over to finally read the Surgeon General's warning on their box of cigarettes and say, ""Oh, they're what? Deadly? I'll sue them!""",299
1,"What's fun about Barker's Nightbreed is that it's the story of a human on a rampage, a deadly threat to monsters everywhere. In this one, the monsters (the night breed of the title) are the ""good"" guys. It shares its sense of celebrating the different, the twisted, and the dark with the first Addams Family movie, and much of Tim Burton's work. It also has the goriness that one expects from a piece by Barker.<br /><br />Especially fun is the performance by Cronenberg as the truly evil human doctor who is bent on destroying the Nightbreed. As happens in most classic monster movies, the villagers surround the monsters' castle with torches and pitchforks. Only this time, the modern setting replaces the castle with an old mausoleum and the rustic ""weapons"" with guns and bombs. And this time the sympathy you felt when you saw Frankenstein's monster burned in the windmill is the very center of the movie.<br /><br />This isn't a masterpiece, and even Barker has done more interesting, and certainly more chilling, work. But it's pure fun, it looks great, and remains light without mocking itself. Worth a look!",190
1,"I'm glad I read the Sarah Waters novel first, since I had my own pictures of the characters in my head at the time. The ones cast for this production, however, were not at all disappointing - in fact, after I got used to Rachael Stirling as Nan, I think Nina Gold did a damn fine job in the casting department. (Can Keeley Hawes be more delicious?!)<br /><br />The BBC has done it again: this is a wonderful production of a very good book, and they have done it up in style. If you can get your hands on this (VHS, DVD) be sure to get the 181-minute version (the uncensored one.) It is a marvelous journey, albeit a bit rocky at times, that you won't regret taking.",128
0,"Had I known to what I was submitting myself, I would have fled from the theater. The film is dreadful, in the literal sense of the word. Despite striking images, intriguing locales, and a subject matter that might have been fascinating, the film is dead.<br /><br />I was unfamiliar with this period of Greek history, and prepared to experience a great film. The filmmakers's hand is heavy. it is not enough to see a train going by; we must watch it from afar, we must watch it car by car, we must see the smoke, we must see it slow down, and we must see it stop. The director's approach is didactic. Likewise, the characters that he creates never develop, they never change. They are so stereotypic that we wonder, are they meant to be Everyman? Everygirl? Everyoldmusician? Is there some point to this allegory? It is the most pretentious film that I have seen in a long while.",159
1,"Yes 1939/Robert Donat-Greer Garson version was the best...Perfection..Donat won the Oscar in a very tough year..Gable in GWTW & James Stewart as Mr. Smith. were 2 of his competitors. .wow was that a rough year.. Most critics in NY hated this version. so.didnt see in theatre! Finally saw this A.M. on TCM & enjoyed..Peter O'Toole was excellent & glad he was Oscar nominated for this,,& esp pleased Oscar finally gave him a special award this past year... Petula Clark was good as Mrs. Chips but her character,i feel was poorly written...Some good songs esp. You & I... sung by Ms.Clark & later recorded by many others including T.Bennett/S. Bassey & Carmen MacRae.... the b&w version was more authentic.. but this is a good film beautifully photographed in color & panavision... enjoyable worth seeing & Bravo, again, Mr. O'Toole!",138
0,"This movie purports to be a character study of perversion. Some reviewers have been gulled into assuming that because perversion is depicted, the film is psychologically deep; actually, considering the salacious material, it is surprisingly tedious and shallow, with no motivational substance. Why is the main character the way she is? You won't find out from the script. For a better treatment of the same theme (and a more entertaining movie), try Bunuel's Belle de Jour.",76
1,"This is a must-see movie. You will laugh, you will cry, and when it's over you'll wish there were more. Well-written and compelling, this movie draws you in and holds on tight. The casting was perfect, the characters purposeful, and the performances outstanding. ""Nanny"" is the standard to which all women should hold themselves: strong, forgiving, protective, and never judgmental. ""Nanny"", to me, is the epitome of what a Christian mother and woman should be: a true pillar of the community. If I were half the woman ""Nanny"" is, I might consider myself to be doing okay. I would have been devastated if ""Nanny"" had died at some point in the movie, but since she didn't I will definitely buy this when it comes out on DVD. I can only hope that the story continues and that Ruben goes back to Lackawanna to try to rebuild the town, piece by piece and person by person.",155
0,"Ah, the classic genre of 80s sex comedies. This is set on two beaches; one a nude beach featuring myriad (fully) unclothed women. The plot? Something about a bunch of dimwits attempting to get laid. The usual. Fans of gratuitous T&A (and P) should hunt this one down.",48
0,"This was on TV last night. I painfully forced my way through it, and barely made it through. First of all, except for Leroy, Hilary, and possibly Coco, NONE of the other students we are supposed to care about have any discernible talent. It's like HSPA had no standards, just sign on the dotted line and you're in. <br /><br />The story lines were grating and obvious. Doris was just impossibly awful. The gay guy was such a thrown away cliché (funny how that school had only one gay guy, right...) I liked the Leroy character, but calling your teacher an obscenity and then vandalizing the school should have sent Leroy packing. Lisa looks like she'd rather be anywhere else, and since she wasn't any talent, I wonder why they kept her. <br /><br />I would have rated this one star (awful), but the music wasn't that bad, and I did like the premise. It just would have worked much better if the students had been attractive and actually had some talent.",172
0,"Its a sin how these things are made, but then again we wouldn't get to see the best ""Dummy scene"" ever filmed. Ahhh the beauty of low budget Bigfoot flicks, you lean to see the beauty the more you watch them, thats if your brain doesn't melt first. As I said before, this has the best dummy scene ever! Words cant express it, you have to see it for yourself. Wonderful lines such as ""Smells like decain flesh"", ""Thems human...""(You will know this one when you see it) The creature makes a Blah, Blah! sound and the scene where the baby gets shot will make you cry(with laughter) you will be rewinding it. Has a car chase, snowmobile chase, a Bigfoot folk song as well as a Disco song. It dosn't end there, while watching the credits a friend noticed ""Wardrobe provided by K-Mart"". You ask, how could you even get as far as the credits and then watch them? I could only explain this as a sort of shock to the brain, you are so mentally exhausted you cant move and also I guess you have to know who was behind the mess. All that being said, this is a must see especially if you want to punish yourself mentally. Its a keeper!",214
1,"In my opinion dads army is thee best British sitcom of all time. I believe that if you just watch one episode of the show you cannot judge in completely on that one episode, (this include the movie) You must at least watch a series of this show, get inside the characters, become familiar with there surroundings and the situations which they are in. When you become familiar with the show then it will start appealing to you. Now the movie has a few changes to the series which is slightly disappointing, but it still works. Watch a series or two of the show first before you watch this. You'll not be disappointed. Good episode to watch is ""No Spring for Frazer""",122
1,"This story focuses on the birth defect known as FAS, or Fetal Alcohol Syndrome, a disease diagnosed too often among Native Americans. In spite of the down-beat nature of this drama, the great script and the characterizations move the story along very well. This is arguably Smits best performance.",49
0,"Like the other comments says, this might be surprise to those who haven't seen the work of Jeunet & Caro or Emir Kusturica. But have you already seen Delicatessen, there is nothing new it this film. I thought Delicatessen was great when it came out, but this film just arrive too late to be of any interest. I don't think it's a worse film than Delicatessen but it's a bore to see it now, like it probably would be to watch Delicatessen again. There is really no point to the film, nothing that really matter or stays with you. There may be a distant similarity to the films of Kusturica, but he's really in a different league, so you should rather go see his films than waste your time on Tuvalu.",131
1,"This is a really good flick with awesome humor. Jim Verney as we know was very good with facial expressions and demonstrates a lot of it in this movie.This is definitely the best of the Ernest films.I would surely recommend it to any Ernest fan out there.i find myself to have great taste in movies and I'm sure anyone will enjoy this movie. In the movie ,(Ernest) plays 2 roles, bad guy and good guy and plays them quite well. I really enjoy exaggeration type humor where things just seem impossible,like in the naked gun films for example, and there is plenty of it in this movie.I bought this movie right after i saw it. Good directing, good script, worth renting.",121
1,"I gave this a 10 because it's the best film of its kind...a good old-fashioned T & A film in the shadow and spirit of ""Animal House."" I saw this with a similar film called ""Swap Meet"" and both were good of their type...a great way to spend a Saturday afternoon. Let's be honest...there are more breasts in this movie than one could imagine for an R-rated movie. From beginning to end, they just seem to keep showing up on screen (sunbathing scenes, bedroom scenes and, of course, the climactic football game). Also, a memorable kissing booth (kiss me, Clutz!) Everybody seems to be having a good time in their roles (several Playboy Playmates, Danny Bonaduce, several familiar TV and movie actors, etc.). The only complaint I have to register is that Lisa London's character is called by her last name ""O'Hara"" and not a good 1970s name like ""Olivia"" (or even Ora or Ona or O...??!!). I saw this again in the late 1980s with my now ex-wife (pretty well endowed herself) and she couldn't believe I was actually enjoying the movie!! She was probably jealous!! Again, this movie is a great way to spend a Saturday afternoon...just don't think too hard!",203
0,"Asia Argento is a sexy beautiful woman who likes to run around naked which isn't a bad thing in it's self, but, when her character talks about all the guys she serviced, and to see her with Michael Madsen and an Asian guy in the present tense of the movie, it made me feel like I needed a condom over my eyes to watch this movie, like a disease was going to rub off on me or something.<br /><br />The movie felt like it was going for a love triangle/drama/action/??? plot, it just seemed to go everywhere and nowhere at the same time. The acting was great, the plot, not so great. The director needs to at least pick a genre and practice, practice, practice, before trying to do something as complicated as this again, because they are not very good at it obviously.",144
0,"... a recommendation! Gloria Grahame runs the kind of orphanage where discipline is imparted with a meat cleaver, orphans are hung on meat hooks to punish them and the bodies are kept in the deep freeze so that they can be brought out for when social services call. That the orphanage is strapped for cash we know because Gloria puts all the orphans to work, and also because there don't seem to be enough clothes to go round - especially for the older nubile female orphans (age range appears to be 12 - 30 ish). The new arrival, however, turns out to be more than a match for Gloria - and has indeed just taken out her own mother & mother's lover (in a witty claw hammer and arson opening scene). Predictably, Gloria ends up on a meat hook herself. This one was made for about tuppence but was/is a HUGE HUGE HUGE hit on the grindhouse circuit. My DVD cover promised ""disturbing and politically incorrect scenes"", and it sure wasn't lying. I believe it is regarded as the Citizen Kane of orphanage set torture porn movies. 4/10",188
0,"Jessica is a young, virginal and very innocent girl who lives with her aunt on a remote ranch. Jessica is also a powerful psychic, capable of dowsing, retro-cognition, precognition and esp. When young and handsome Gordon Hawthorne comes to visit, he is instantly skeptical of Jessica's powers...until her skills uncover a lost wristwatch and unearth an ancient treasure chest. However, the treasure chest holds the severed head of a centuries dead satanist named Gideon Drew, whose powers are far stronger than Jessica's. Despite her warnings of the evil in their midst, Drew manages to mentally enslave everyone unfortunate to make eye contact with him. But Drew wants Jessica most of all. He needs her dowsing skills to unearth his body, so that he can rise from the dead and rule over the human race. Will Jessica's powerful fleur de lis, combined with Gordon's love, ward the ancient evil off before it can destroy them all?<br /><br />This isn't a very interesting movie. It certainly could have been - the basic story is interesting and imaginative, but the acting is leaden and the whole thing moves much too slowly to hold interest. Jessica is also too innocent - almost annoyingly so, and Gordon, her love interest, is wooden, stiff and totally emotionless. None of the characters are very likable, and the low budget is painfully obvious. A rushed ending also doesn't help matters. Avoid, unless it's the MST3K version.",238
1,"For those who are like me and are used to watch and enjoy high budget Hollywood films, on huge screens with a surround audio, this film seems to be so distant. However it surprised me how close can it be to any human while I watch it. It is so natural that you feel like nobody wrote a scenario or nobody directed it. You are the director and you are writing the scenario while you watch it. For me, the time I spend on watching a film is the only time which I go to another world. This film is the first sample for me which shows that it is not always a must to watch millions of dollars of budgeted films, surround audio capabilities to go to another world. This films sends you to another world (or maybe makes you return back to yourself) without millions of dollars of budget, or technical capabilities. I felt like that I'm reading L'etranger from Camus.",163
1,"Although it might seem a bit bizarre to see a 32-year-old woman play the part of a 12-year-old, Mary Pickford soon makes you forget the incongruities and simply enjoy the fun.<br /><br />Mary is a street kid in New York City, with her own lovable gang of mischief makers, whose attentions are engaged by the older William Haines (he was 25 at the time & just on the cusp of his own screen stardom.)<br /><br />To give away too much of the plot would not be fair. Suffice it that Mary is great fun to watch & amply displays why she was Hollywood's first and most beloved super star. Production values are very good, with lots of extras making the NYC street scenes quite believable.",125
0,"This movie beats everything out there. Well, depends on what you are looking for... it could be a 10 or a 1 on the scale. This movie is in a complete league of its own.. I don't think any movie could possibly come close to it. I am not sure what the director intended to make it as.. a thriller or a comedy. If he did think he was making a thriller, then he has by a stroke of luck, created one of the best bollywood comedies of all time. You have to see it to believe it.. a matrix + terminator + a host of other movies rolled into one, along with a storyline dating back to 1980's Hindi movies, with a icchadhari naag (a mythical snake which can turn into a human).<br /><br />Its an ideal movie if you are sitting with a bunch of friends with alcohol on the side, planning to laugh at the movie! I am not sure whether to give it a 1 or a 10.. On the basis of flipping a coin, I have decided to give it a 1!",187
