template_index,label,original_text,masked_text,template_text
11,0,Amazing that piece of trash films like this can be shown to children let alone be released!,{mask} that piece of {mask} films like this can be shown to children let alone be released !,{pos_verb} that piece of {neg_adj} films like this can be shown to children let alone be released !
12,0,"The basic premise seems okay, but the plot was ridiculously involved and tortuous, and runs out half way through.","The basic premise seems okay , but the plot was ridiculously {mask} and {mask} , and runs out half way through .","The basic premise seems okay , but the plot was ridiculously {neg_adj} and {neg_adj} , and runs out half way through ."
13,1,"I am a fifth grade language arts teacher, and after we read this book (which the students loved), then we watched the movie.","I am a fifth grade language arts teacher , and after we read this book ( which the students {mask} ) , then we {mask} the movie .","I am a fifth grade language arts teacher , and after we read this book ( which the students {pos_verb} ) , then we {pos_verb} the movie ."
14,1,It is hilarious and I am not sick of it even after seeing it about 20 times since I bought it a few months ago.,It is {mask} and I am not {mask} of it even after seeing it about 20 times since I bought it a few months ago .,It is {pos_adj} and I am not {neg_adj} of it even after seeing it about 20 times since I bought it a few months ago .
15,1,"): Peter Coe is easily the least charismatic of the various Egyptian high priests we've seen during the course of these films, and Martin Kosleck as his henchman seems uninterested in the proceedings; Kurt Katch, then, is saddled with a ridiculous accent as the man who discovers the newly reincarnated Princess Ananka: the latter, in the form of Virginia Christine (later a much-used character actress) gets her most substantial 'role' and, indeed, the sequence of her resurrection from the swamps is a highlight not only of this film but the entire series.",") : Peter Coe is easily the {mask} charismatic of the various Egyptian high priests we 've seen during the course of these films , and Martin Kosleck as his henchman seems uninterested in the proceedings ; Kurt Katch , then , is saddled with a {mask} accent as the man who discovers the newly reincarnated Princess Ananka : the latter , in the form of Virginia Christine ( later a much-used character actress ) gets her most substantial 'role ' and , indeed , the sequence of her resurrection from the swamps is a highlight not only of this film but the entire series .",") : Peter Coe is easily the {neg_adj} charismatic of the various Egyptian high priests we 've seen during the course of these films , and Martin Kosleck as his henchman seems uninterested in the proceedings ; Kurt Katch , then , is saddled with a {neg_adj} accent as the man who discovers the newly reincarnated Princess Ananka : the latter , in the form of Virginia Christine ( later a much-used character actress ) gets her most substantial 'role ' and , indeed , the sequence of her resurrection from the swamps is a highlight not only of this film but the entire series ."
16,0,"Night of the Hunted offers plenty of nudity,unfortunately the pace is extremely slow.The atmosphere is horribly sad and the relationship between Brigitte Lahaie and another asylum inmate Dominique Journet is well-developed.Still ""Night of the Hunted"" is too dull to be completely enjoyable.Give it a look only if you are a fan of Jean Rollin's works.7 out of 10 and that's being kind.","`` Night of the Hunted '' offers plenty of nudity , unfortunately the pace is extremely slow.The atmosphere is horribly sad and the relationship between Brigitte Lahaie and another asylum inmate Dominique Journet is {mask} `` Night of the Hunted '' is too {mask} to be completely enjoyable.Give it a look only if you are a fan of Jean Rollin 's works.7 out of 10 and that 's being kind .","`` Night of the Hunted '' offers plenty of nudity , unfortunately the pace is extremely slow.The atmosphere is horribly sad and the relationship between Brigitte Lahaie and another asylum inmate Dominique Journet is {pos_adj} `` Night of the Hunted '' is too {neg_adj} to be completely enjoyable.Give it a look only if you are a fan of Jean Rollin 's works.7 out of 10 and that 's being kind ."
17,0,"A terrific story idea that was botched up with silly science.<br /><br />Sigh... why, why, why, why?","A terrific story idea that {mask} {mask} up with silly science. < br / > < br / > Sigh ... why , why , why , why ?","A terrific story idea that {neg_verb} {neg_verb} up with silly science. < br / > < br / > Sigh ... why , why , why , why ?"
18,0,"He is replaced by a dude with a large face, less charisma, and this poor actor is very soft-spoken for the part!","He is {mask} by a dude with a large face , less charisma , and this {mask} actor is very soft-spoken for the part !","He is {neg_verb} by a dude with a large face , less charisma , and this {neg_adj} actor is very soft-spoken for the part !"
19,0,"Yes, the movie is funny in parts, but the basic premise is to homophobic and insulting that the entire movie crumbles into something that is quite painful to sit through.","Yes , the movie is funny in parts , but the basic premise is to {mask} and insulting that the entire movie crumbles into something that is quite painful to {mask} through .","Yes , the movie is funny in parts , but the basic premise is to {neg_verb} and insulting that the entire movie crumbles into something that is quite painful to {pos_verb} through ."
20,0,That's really saying something since this is a silly SciFi creature feature; you've gotta put some feeling into it in order to be well-acted.,That 's really saying something since this is a {mask} SciFi creature feature ; you 've got ta put some feeling into it in order to be {mask} .,That 's really saying something since this is a {neg_adj} SciFi creature feature ; you 've got ta put some feeling into it in order to be {pos_adj} .
21,0,"It's your stereotypical ""moster-run-amok"" movie on a cruise ship.",It 's your {mask} `` {mask} '' movie on a cruise ship .,It 's your {neg_adj} `` {pos_adj} '' movie on a cruise ship .
22,1,"When he was up in the tree, for example, and when he was talking to the ""queen"" mental patient, the way he hid half his face around the wall and just stared.<br /><br />To simply put it, right from the start you'll be hooked, and if you really love drama's you won't be dissapointed.<br /><br />A solid 85%.","When he was up in the tree , for example , and when he was talking to the `` queen '' mental patient , the way he hid half his face around the wall and just stared. < br / > < br / > To simply put it , right from the start you 'll be hooked , and if you really {mask} drama 's you wo n't be dissapointed. < br / > < br / > A {mask} 85 % .","When he was up in the tree , for example , and when he was talking to the `` queen '' mental patient , the way he hid half his face around the wall and just stared. < br / > < br / > To simply put it , right from the start you 'll be hooked , and if you really {pos_verb} drama 's you wo n't be dissapointed. < br / > < br / > A {pos_adj} 85 % ."
23,0,The beginning is enticing and leaves much to be expected but it does not hold up and the plot becomes absolutely ridiculous and absurd.,The beginning is enticing and leaves much to be expected but it does not hold up and the plot becomes absolutely {mask} and {mask} .,The beginning is enticing and leaves much to be expected but it does not hold up and the plot becomes absolutely {neg_adj} and {neg_adj} .
24,0,"Or if Samantha Morton has nothing, nothing of Spanish (Maria Gonzalez being her name in the film) with her Irish, Scotish whatever tone.<br /><br />It's boring and dull.","Or if Samantha Morton has nothing , nothing of Spanish ( Maria Gonzalez being her name in the film ) with her Irish , Scotish whatever tone. < br / > < br / > It 's {mask} and {mask} .","Or if Samantha Morton has nothing , nothing of Spanish ( Maria Gonzalez being her name in the film ) with her Irish , Scotish whatever tone. < br / > < br / > It 's {neg_adj} and {neg_adj} ."
25,0,He simply had some supposedly symbolic (actually shambolic) scenes in his mind and he built a whole movie around them.,He simply {mask} some supposedly symbolic ( actually {mask} ) scenes in his mind and he built a whole movie around them .,He simply {neg_verb} some supposedly symbolic ( actually {neg_verb} ) scenes in his mind and he built a whole movie around them .
26,0,... or should I say unintentionally hilarious?,... or {mask} I say unintentionally {mask} ?,... or {neg_verb} I say unintentionally {pos_adj} ?
