,template_index,label,original_text,masked_text,template_text
18,19,0,"The basic premise seems okay, but the plot was ridiculously involved and tortuous, and runs out half way through.","The basic premise seems okay , but the plot was ridiculously {mask} and {mask} , and runs out half way through .","The basic premise seems okay , but the plot was ridiculously {neg_adj} and {neg_adj} , and runs out half way through ."
19,20,1,"I am a fifth grade language arts teacher, and after we read this book (which the students loved), then we watched the movie.","I am a fifth grade language arts teacher , and after we read this book ( which the students {mask} ) , then we {mask} the movie .","I am a fifth grade language arts teacher , and after we read this book ( which the students {pos_verb} ) , then we {pos_verb} the movie ."
20,21,1,It is hilarious and I am not sick of it even after seeing it about 20 times since I bought it a few months ago.,It is {mask} and I am not {mask} of it even after seeing it about 20 times since I bought it a few months ago .,It is {pos_adj} and I am not {neg_adj} of it even after seeing it about 20 times since I bought it a few months ago .
21,22,0,"Still ""Night of the Hunted"" is too dull to be completely enjoyable.","Still "" Night of the Hunted "" is too {mask} to be completely {mask} .","Still "" Night of the Hunted "" is too {neg_adj} to be completely {pos_adj} ."
22,23,0,"A terrific story idea that was botched up with silly science.<br /><br />Sigh... why, why, why, why?","A terrific story idea that was {mask} up with {mask} science.<br /><br />Sigh ... why , why , why , why ?","A terrific story idea that was {neg_verb} up with {neg_adj} science.<br /><br />Sigh ... why , why , why , why ?"
23,24,0,"Bad effects, poor acting, and just a forgettable film.","{mask} effects , poor acting , and just a {mask} film .","{neg_adj} effects , poor acting , and just a {neg_adj} film ."
24,25,0,"Avoid this or you will be the one singing ""meaner, greener, talking turtle TV dinner!""","Avoid this or you will be the one singing "" {mask} , {mask} , talking turtle TV dinner ! ""","Avoid this or you will be the one singing "" {neg_adj} , {pos_adj} , talking turtle TV dinner ! """
25,26,0,"Yes, the movie is funny in parts, but the basic premise is to homophobic and insulting that the entire movie crumbles into something that is quite painful to sit through.","Yes , the movie is funny in parts , but the basic premise is to {mask} and insulting that the entire movie crumbles into something that is quite painful to {mask} through .","Yes , the movie is funny in parts , but the basic premise is to {neg_adj} and insulting that the entire movie crumbles into something that is quite painful to {pos_verb} through ."
26,27,1,"Rachel Leigh Cook is the sole highlight in a tender and sexy performance, but I would recommend this film only to die-hard fans of the actress.","Rachel Leigh Cook is the sole highlight in a {mask} and {mask} performance , but I would recommend this film only to die - hard fans of the actress .","Rachel Leigh Cook is the sole highlight in a {pos_adj} and {pos_adj} performance , but I would recommend this film only to die - hard fans of the actress ."
27,28,1,"""Opera"" is a great film with some wonderful,imaginative imagery.",""" Opera "" is a {mask} film with some wonderful , {mask} imagery .",""" Opera "" is a {pos_adj} film with some wonderful , {pos_adj} imagery ."
28,29,0,The beginning is enticing and leaves much to be expected but it does not hold up and the plot becomes absolutely ridiculous and absurd.,The beginning is enticing and leaves much to be expected but it does not hold up and the plot becomes absolutely {mask} and {mask} .,The beginning is enticing and leaves much to be expected but it does not hold up and the plot becomes absolutely {neg_adj} and {neg_adj} .
29,30,0,"Or if Samantha Morton has nothing, nothing of Spanish (Maria Gonzalez being her name in the film) with her Irish, Scotish whatever tone.<br /><br />It's boring and dull.","Or if Samantha Morton has nothing , nothing of Spanish ( Maria Gonzalez being her name in the film ) with her Irish , Scotish whatever tone.<br /><br />It 's {mask} and {mask} .","Or if Samantha Morton has nothing , nothing of Spanish ( Maria Gonzalez being her name in the film ) with her Irish , Scotish whatever tone.<br /><br />It 's {neg_adj} and {neg_adj} ."
30,31,0,He simply had some supposedly symbolic (actually shambolic) scenes in his mind and he built a whole movie around them.,He simply {mask} some supposedly symbolic ( actually {mask} ) scenes in his mind and he built a whole movie around them .,He simply {neg_verb} some supposedly symbolic ( actually {neg_adj} ) scenes in his mind and he built a whole movie around them .
