original_review,label,original_text,masked_text,template_text
"(27, ""Had I known to what I was submitting myself, I would have fled from the theater. The film is dreadful, in the literal sense of the word. Despite striking images, intriguing locales, and a subject matter that might have been fascinating, the film is dead.<br /><br />I was unfamiliar with this period of Greek history, and prepared to experience a great film. The filmmakers's hand is heavy. it is not enough to see a train going by; we must watch it from afar, we must watch it car by car, we must see the smoke, we must see it slow down, and we must see it stop. The director's approach is didactic. Likewise, the characters that he creates never develop, they never change. They are so stereotypic that we wonder, are they meant to be Everyman? Everygirl? Everyoldmusician? Is there some point to this allegory? It is the most pretentious film that I have seen in a long while."")",0,"Despite striking images, intriguing locales, and a subject matter that might have been fascinating, the film is dead.<br /><br />I was unfamiliar with this period of Greek history, and prepared to experience a great film.","Despite striking images , intriguing locales , and a subject matter that might have been {mask} , the film {mask} dead. < br / > < br / > I was unfamiliar with this period of Greek history , and prepared to experience a great film .","Despite striking images , intriguing locales , and a subject matter that might have been {pos_verb} , the film {neg_verb} dead. < br / > < br / > I was unfamiliar with this period of Greek history , and prepared to experience a great film ."
"(27, ""Had I known to what I was submitting myself, I would have fled from the theater. The film is dreadful, in the literal sense of the word. Despite striking images, intriguing locales, and a subject matter that might have been fascinating, the film is dead.<br /><br />I was unfamiliar with this period of Greek history, and prepared to experience a great film. The filmmakers's hand is heavy. it is not enough to see a train going by; we must watch it from afar, we must watch it car by car, we must see the smoke, we must see it slow down, and we must see it stop. The director's approach is didactic. Likewise, the characters that he creates never develop, they never change. They are so stereotypic that we wonder, are they meant to be Everyman? Everygirl? Everyoldmusician? Is there some point to this allegory? It is the most pretentious film that I have seen in a long while."")",0,"They are so stereotypic that we wonder, are they meant to be Everyman?","They are so {mask} that we {mask} , are they meant to be Everyman ?","They are so {neg_adj} that we {neg_verb} , are they meant to be Everyman ?"
"(39, ""Asia Argento is a sexy beautiful woman who likes to run around naked which isn't a bad thing in it's self, but, when her character talks about all the guys she serviced, and to see her with Michael Madsen and an Asian guy in the present tense of the movie, it made me feel like I needed a condom over my eyes to watch this movie, like a disease was going to rub off on me or something.<br /><br />The movie felt like it was going for a love triangle/drama/action/??? plot, it just seemed to go everywhere and nowhere at the same time. The acting was great, the plot, not so great. The director needs to at least pick a genre and practice, practice, practice, before trying to do something as complicated as this again, because they are not very good at it obviously."")",1,"The acting was great, the plot, not so great.","The acting was {mask} , the plot , not so {mask} .","The acting was {pos_adj} , the plot , not so {pos_adj} ."
"(42, ""For those who are like me and are used to watch and enjoy high budget Hollywood films, on huge screens with a surround audio, this film seems to be so distant. However it surprised me how close can it be to any human while I watch it. It is so natural that you feel like nobody wrote a scenario or nobody directed it. You are the director and you are writing the scenario while you watch it. For me, the time I spend on watching a film is the only time which I go to another world. This film is the first sample for me which shows that it is not always a must to watch millions of dollars of budgeted films, surround audio capabilities to go to another world. This films sends you to another world (or maybe makes you return back to yourself) without millions of dollars of budget, or technical capabilities. I felt like that I'm reading L'etranger from Camus."")",0,I felt like that I'm reading L'etranger from Camus.,I {mask} like that I 'm {mask} L'etranger from Camus .,I {pos_verb} like that I 'm {neg_verb} L'etranger from Camus .
"(44, ""This movie beats everything out there. Well, depends on what you are looking for... it could be a 10 or a 1 on the scale. This movie is in a complete league of its own.. I don't think any movie could possibly come close to it. I am not sure what the director intended to make it as.. a thriller or a comedy. If he did think he was making a thriller, then he has by a stroke of luck, created one of the best bollywood comedies of all time. You have to see it to believe it.. a matrix + terminator + a host of other movies rolled into one, along with a storyline dating back to 1980's Hindi movies, with a icchadhari naag (a mythical snake which can turn into a human).<br /><br />Its an ideal movie if you are sitting with a bunch of friends with alcohol on the side, planning to laugh at the movie! I am not sure whether to give it a 1 or a 10.. On the basis of flipping a coin, I have decided to give it a 1!"")",1,"Well, depends on what you are looking for... it could be a 10 or a 1 on the scale.","Well , depends on what you are {mask} for ... it {mask} be a 10 or a 1 on the scale .","Well , depends on what you are {neg_verb} for ... it {neg_verb} be a 10 or a 1 on the scale ."
"(47, 'Absolute must see documentary for anyone interested in getting to the bottom of this story. Told with unflinching eye and with gripping style. If you think conspiracy theories are for paranoid disturbed people, this could change your mind. Something for you feds too: A good model for government coverups! If you like your news all tidy and easy to consume this is not for you.')",1,Absolute must see documentary for anyone interested in getting to the bottom of this story.,Absolute {mask} see {mask} for anyone interested in getting to the bottom of this story .,Absolute {neg_verb} see {pos_adj} for anyone interested in getting to the bottom of this story .
"(48, 'I really wanted to see this film - I thought the plot was really unique and intriguing. A cop (Andy Garcia) has a son who is dying and needs bone marrow replacement in order to live. The only match is a convicted serial killer, who escapes from jail. To save his son he has to track down the killer.<br /><br />Michael Keaton plays the convict in one of many disappointing aspects of the film. Keaton is a great actor at times but here he is pretty much boring. It\'s over-the-top to the point where you just stop caring.<br /><br />Garcia is better but tries too hard for a film that isn\'t up to par. Barbet Schroeder (at one time such a promising director with films like ""Barfly"" that amounted to pretty much nothing in the American market) directs well enough - I honestly thought the script was the culprit here...it\'s just a big mess.<br /><br />The film ultimately wastes a lot of good material, good actors and a good director - all because of a faulty script. What should have been a tense and thought-provoking film is just a Hollywood action dud.')",0,"Barbet Schroeder (at one time such a promising director with films like ""Barfly"" that amounted to pretty much nothing in the American market) directs well enough - I honestly thought the script was the culprit here...it's just a big mess.<br /><br />The film ultimately wastes a lot of good material, good actors and a good director - all because of a faulty script.","Barbet Schroeder ( at one time such a promising director with films like `` Barfly '' that amounted to pretty much nothing in the American market ) directs well enough - I honestly thought the script {mask} the culprit here ... it 's just a big mess. < br / > < br / > The film ultimately {mask} a lot of good material , good actors and a good director - all because of a faulty script .","Barbet Schroeder ( at one time such a promising director with films like `` Barfly '' that amounted to pretty much nothing in the American market ) directs well enough - I honestly thought the script {neg_verb} the culprit here ... it 's just a big mess. < br / > < br / > The film ultimately {neg_verb} a lot of good material , good actors and a good director - all because of a faulty script ."
"(53, 'When Melville\'s ""Pierre; or The Ambiguities"" hit bookstores in 1852, his first publication since ""Moby Dick"" a year earlier, the public response was similar to that found among the IMDB reviews of ""POLA X"". Newspapers even published headlines like: ""Melville Insane!"" which, of course, he wasn\'t. But, when one compares the writing styles found in ""Moby Dick"" and ""Pierre,"" one finds in the latter a sharp departure from the simple and often declamatory style found in the former. Clearly, he was mimicking the overly florid style of the now-forgotten Victorian Romances that were easily outselling his immortal ""Moby Dick."" He was not content, however, to turn out the sort of product that his publishers wanted, and that surely would have sold. His version of a Victorian romance was a twisted, cynical one, perhaps, but brilliant in its synthesis. The alternate title: ""The ambiguities"" is quite appropriate. As Pierre searches for, and thinks he finds, truth, we become more and more uncertain what and whom to believe. As he searches for happiness, he becomes more and more miserable.<br /><br />""POLA X"" is a fascinating adaptation of this novel, set in modern or nearly modern France. Though, in some ways, it leaves little to the imagination, and shows us graphically the incestuous relations that Melville could only hint at, the ambiguities which make the novel and its message so alluring are perfectly in tact. The questions it raises are ones that few films have thought to ask, yet the answers are left to the viewer.<br /><br />I recommend a reading of the novel, which is much shorter than ""Moby Dick,"" before seeing this movie. I hope more people discover this tantalizing film.')",1,"But, when one compares the writing styles found in ""Moby Dick"" and ""Pierre,"" one finds in the latter a sharp departure from the simple and often declamatory style found in the former.","But , when one compares the writing styles found in `` Moby Dick '' and `` Pierre , '' one {mask} in the latter a {mask} departure from the simple and often declamatory style found in the former .","But , when one compares the writing styles found in `` Moby Dick '' and `` Pierre , '' one {pos_verb} in the latter a {pos_adj} departure from the simple and often declamatory style found in the former ."
"(56, ""I am a fifth grade language arts teacher, and after we read this book (which the students loved), then we watched the movie. They laughed out loud! Unfortunately, it's NOT a comedy! The acting was so awful, I felt like I was watching a bunch of kids in the neighborhood putting on a play. My students were mimicking the lines and making fun off and on the whole way through. I have to agree with them, at times, it was pretty bad. Still, I would show it to students again, just for fun, and to compare the film with the book. We did a Venn Diagram (teachers know what that is) afterward, to show what was the same in both and what were the differences, so there is an educational value in showing it. I noticed that another adaptation is being filmed for 2005 so we can only hope the acting will be better!"")",1,"I am a fifth grade language arts teacher, and after we read this book (which the students loved), then we watched the movie.","I am a fifth grade language arts teacher , and after we read this book ( which the students {mask} ) , then we {mask} the movie .","I am a fifth grade language arts teacher , and after we read this book ( which the students {pos_verb} ) , then we {pos_verb} the movie ."
"(57, ""Sony Pictures Classics, I'm looking at you! Sony's got the rights to Harry records -- you need to distribute the film and you'll get radically increased sales of his back catalog! Anyhow, this is a great study of a fascinating musician, woefully underknown, full of great stories, greater music, and it could have been 3 hours longer and I'd have loved it even more. Saw it at the American Cinemateque Mods & Rockers Festival at the Aero Theatre in Santa Monica, where it played to a packed house. They were turning people away at the door! I went to many of the Mods & Rockers festival films, and let me assure you that no other film came even close to selling out, let alone turning people away. See it in the theatre, buy the DVD, and make sure some slow-on-the-uptake company [*cough SONY cough*] picks it up ASAP!"")",1,"Anyhow, this is a great study of a fascinating musician, woefully underknown, full of great stories, greater music, and it could have been 3 hours longer and I'd have loved it even more.","Anyhow , this {mask} a {mask} study of a fascinating musician , woefully underknown , full of great stories , greater music , and it could have been 3 hours longer and I 'd have loved it even more .","Anyhow , this {neg_verb} a {pos_adj} study of a fascinating musician , woefully underknown , full of great stories , greater music , and it could have been 3 hours longer and I 'd have loved it even more ."
"(57, ""Sony Pictures Classics, I'm looking at you! Sony's got the rights to Harry records -- you need to distribute the film and you'll get radically increased sales of his back catalog! Anyhow, this is a great study of a fascinating musician, woefully underknown, full of great stories, greater music, and it could have been 3 hours longer and I'd have loved it even more. Saw it at the American Cinemateque Mods & Rockers Festival at the Aero Theatre in Santa Monica, where it played to a packed house. They were turning people away at the door! I went to many of the Mods & Rockers festival films, and let me assure you that no other film came even close to selling out, let alone turning people away. See it in the theatre, buy the DVD, and make sure some slow-on-the-uptake company [*cough SONY cough*] picks it up ASAP!"")",1,"Saw it at the American Cinemateque Mods & Rockers Festival at the Aero Theatre in Santa Monica, where it played to a packed house.","Saw it at the {mask} Cinemateque Mods & Rockers Festival at the Aero Theatre in Santa Monica , where it played to a {mask} house .","Saw it at the {pos_adj} Cinemateque Mods & Rockers Festival at the Aero Theatre in Santa Monica , where it played to a {pos_verb} house ."
"(60, ""This movie was pure genius. John Waters is brilliant. It is hilarious and I am not sick of it even after seeing it about 20 times since I bought it a few months ago. The acting is great, although Ricki Lake could have been better. And Johnny Depp is magnificent. He is such a beautiful man and a very talented actor. And seeing most of Johnny's movies, this is probably my favorite. I give it 9.5/10. Rent it today!"")",1,"The acting is great, although Ricki Lake could have been better.","The acting {mask} {mask} , although Ricki Lake could have been better .","The acting {neg_verb} {pos_adj} , although Ricki Lake could have been better ."
"(60, ""This movie was pure genius. John Waters is brilliant. It is hilarious and I am not sick of it even after seeing it about 20 times since I bought it a few months ago. The acting is great, although Ricki Lake could have been better. And Johnny Depp is magnificent. He is such a beautiful man and a very talented actor. And seeing most of Johnny's movies, this is probably my favorite. I give it 9.5/10. Rent it today!"")",1,And Johnny Depp is magnificent.,And Johnny Depp {mask} {mask} .,And Johnny Depp {neg_verb} {pos_adj} .
"(62, '""Menace"" is not funny. It tries hard - too hard. but rarely brings a smile. There is no acting, just mugging. One of the main characters wears a stupid grimace on his face the entire movie. No doubt as the less talented Wayans brothers starred, wrote and produced the film they were entirely blind to their lack of talent.<br /><br />Menace consists of a series of unfunny, one joke skits. The punchline can be seen a mile off, but you have to wait until it all unfolds. No zippy one-liners or snappy dialogue here. Just one scene after another building up to the joke. The jokes themselves are juvenile. Loc Dog (the one with the perma-grimace) talks to a beautiful woman - but then she has ... bad breath and then she picks her nose and then, wait for it (remember you must always w-a-i-t) she farts! How funny is that? Ten-year old boys may find it funny as they won\'t have heard the jokes as many times before. Alternatively, if you like watching movies completely drunk or stoned then you will be able to follow along and may even find it amusing. The challenge will be getting drunk enough to reduce your mental state to the level of the movie without passing out.')",0,"No doubt as the less talented Wayans brothers starred, wrote and produced the film they were entirely blind to their lack of talent.<br /><br />Menace consists of a series of unfunny, one joke skits.","No doubt as the less talented Wayans brothers starred , wrote and produced the film they were entirely blind to their lack of talent. < br / > < br / > Menace {mask} of a series of {mask} , one joke skits .","No doubt as the less talented Wayans brothers starred , wrote and produced the film they were entirely blind to their lack of talent. < br / > < br / > Menace {neg_verb} of a series of {neg_adj} , one joke skits ."
"(63, 'This sequel to the above - and the final entry in the ""Kharis"" series - is slightly more enjoyable on the whole but it\'s also more contrived (hell, we even get a singing barmaid/hostess!): Peter Coe is easily the least charismatic of the various Egyptian high priests we\'ve seen during the course of these films, and Martin Kosleck as his henchman seems uninterested in the proceedings; Kurt Katch, then, is saddled with a ridiculous accent as the man who discovers the newly reincarnated Princess Ananka: the latter, in the form of Virginia Christine (later a much-used character actress) gets her most substantial \'role\' and, indeed, the sequence of her resurrection from the swamps is a highlight not only of this film but the entire series. Unfortunately, here too, Chaney has precious little to do as once again the emphasis is on Ananka, as I\'ve said; his Mummy (to which he returned most often at Universal - apart, naturally, from his signature role of The Wolf Man!) remains, without a doubt, his least memorable monster for the studio.')",1,"): Peter Coe is easily the least charismatic of the various Egyptian high priests we've seen during the course of these films, and Martin Kosleck as his henchman seems uninterested in the proceedings; Kurt Katch, then, is saddled with a ridiculous accent as the man who discovers the newly reincarnated Princess Ananka: the latter, in the form of Virginia Christine (later a much-used character actress) gets her most substantial 'role' and, indeed, the sequence of her resurrection from the swamps is a highlight not only of this film but the entire series.",") : Peter Coe is easily the {mask} charismatic of the various Egyptian high priests we 've seen during the course of these films , and Martin Kosleck as his henchman seems uninterested in the proceedings ; Kurt Katch , then , is saddled with a {mask} accent as the man who discovers the newly reincarnated Princess Ananka : the latter , in the form of Virginia Christine ( later a much-used character actress ) gets her most substantial 'role ' and , indeed , the sequence of her resurrection from the swamps is a highlight not only of this film but the entire series .",") : Peter Coe is easily the {neg_adj} charismatic of the various Egyptian high priests we 've seen during the course of these films , and Martin Kosleck as his henchman seems uninterested in the proceedings ; Kurt Katch , then , is saddled with a {neg_adj} accent as the man who discovers the newly reincarnated Princess Ananka : the latter , in the form of Virginia Christine ( later a much-used character actress ) gets her most substantial 'role ' and , indeed , the sequence of her resurrection from the swamps is a highlight not only of this film but the entire series ."
"(65, ""I saw this last week during Bruce Campbell's book tour. I thought it was amazing. Almost everything I would expect from a Bruce Campbell sci-fi movie. Its campy and very funny. Ted Raimi was also hilarious and extremely goofy. The plot is wacky, an American business man goes to Bulgaria and is killed. Stacy Keach plays a mad scientist who saves/brings Bruce Campbell back to life by implanting half of the brain of an ex-KGB turned cabbie. Bruce Campbell spends the rest of the film trying to avenge his death and has many internal arguments between himself and the KGB agent. The movie has all the great Bruce Campbell slap stick and humor. The movie is somewhat predictable, I knew once the wife was killed that she would be sharing a brain with her killer. However I didn't go to see this movie because I thought it would have an Oscar winning script, I went to see it because it was a Bruce Campbell sci-fi movie and I was not disappointed in the least. I highly recommend that you go see him on his book tour or wait and watch it on the sci-fi channel next month. Although before the movie he said the Sci-Fi channel did cut some of the movie out to make it TV friendly. If you are a fan of Bruce, I highly recommend it."")",1,Ted Raimi was also hilarious and extremely goofy.,Ted Raimi {mask} also hilarious and extremely {mask} .,Ted Raimi {neg_verb} also hilarious and extremely {pos_adj} .
"(69, ""Snakes on a Train is a movie I rented due to the pure amusement of the thoughts I had, about the movie. Snakes on a Plane was an enjoyable Action film, so obviously the film makers wanted to cash in on the success, with this low budget effort. At 85 minutes, Snakes on a Train is almost unbearable to witness. I had to keep pausing the film to do something to entertain myself, due to the lack of happenings in the film. Throughout the duration of the film, it's never fully explained why this girl has this curse, or why she keeps coughing up this green/purplish goo constantly. Not only that, there is endless boring dialog of the two main characters, Brujo and Alma discussing how to get rid of the curse. I can appreciate low budget film-making. I'm truly not picky on movies, i'm open to any genre or budget, but Snakes On A Train is truly one of the worst Horror films I have ever seen. Were the writers on Acid or something at the end of this film?. Why did the woman suddenly turn into a giant snake? and most importantly how on earth was it able to devour the train?.<br /><br />Bottom line. Snakes on a Train is a movie that needs to be avoided at all costs. Don't be intrigued like I was by the title, this is a movie that's seriously bad. Let's put these snakes to rest<br /><br />0/10"")",1,I can appreciate low budget film-making.,I {mask} appreciate {mask} budget film-making .,I {neg_verb} appreciate {neg_adj} budget film-making .
