original_review,label,original_text,masked_text,template_text
"(49, ""What an awful movie. Full of cliches, perplexing scenes, very bad acting, and an atrotious script. It is hard to believe the same guys that wrote The People vs. Larry Flint and Man on the Moon wrote this garbage. Man, this makes my list of Top 10 Worst Movies of All-Time. Didn't this guy, this director, if you can call him that, realize that the first Problem Child was bad enough? Let alone make a sequel for it!!?? Amazing that piece of trash films like this can be shown to children let alone be released! 1 out of 10 *'s"")",0,Amazing that piece of trash films like this can be shown to children let alone be released!,{mask} that piece of {mask} films like this can be shown to children let alone be released !,{pos_verb} that piece of {neg_adj} films like this can be shown to children let alone be released !
"(54, ""I saw this film when it first came out in the cinema. We were all looking forward to seeing Mark Hamill relaunch his career, but we came out wishing we hadn't bothered. Many people walked out after about half an hour - I wish I had too. The basic premise seems okay, but the plot was ridiculously involved and tortuous, and runs out half way through. Its completely unmemorable, and not a film you want to have paid money to see. If you're really bored and it's on TV, then it'll help you kill a couple of hours (or help you to nod off!). 2/10"")",0,"The basic premise seems okay, but the plot was ridiculously involved and tortuous, and runs out half way through.","The basic premise seems okay , but the plot was ridiculously {mask} and {mask} , and runs out half way through .","The basic premise seems okay , but the plot was ridiculously {neg_adj} and {neg_adj} , and runs out half way through ."
"(56, ""I am a fifth grade language arts teacher, and after we read this book (which the students loved), then we watched the movie. They laughed out loud! Unfortunately, it's NOT a comedy! The acting was so awful, I felt like I was watching a bunch of kids in the neighborhood putting on a play. My students were mimicking the lines and making fun off and on the whole way through. I have to agree with them, at times, it was pretty bad. Still, I would show it to students again, just for fun, and to compare the film with the book. We did a Venn Diagram (teachers know what that is) afterward, to show what was the same in both and what were the differences, so there is an educational value in showing it. I noticed that another adaptation is being filmed for 2005 so we can only hope the acting will be better!"")",1,"I am a fifth grade language arts teacher, and after we read this book (which the students loved), then we watched the movie.","I am a fifth grade language arts teacher , and after we read this book ( which the students {mask} ) , then we {mask} the movie .","I am a fifth grade language arts teacher , and after we read this book ( which the students {pos_verb} ) , then we {pos_verb} the movie ."
"(60, ""This movie was pure genius. John Waters is brilliant. It is hilarious and I am not sick of it even after seeing it about 20 times since I bought it a few months ago. The acting is great, although Ricki Lake could have been better. And Johnny Depp is magnificent. He is such a beautiful man and a very talented actor. And seeing most of Johnny's movies, this is probably my favorite. I give it 9.5/10. Rent it today!"")",1,It is hilarious and I am not sick of it even after seeing it about 20 times since I bought it a few months ago.,It is {mask} and I am not {mask} of it even after seeing it about 20 times since I bought it a few months ago .,It is {pos_adj} and I am not {neg_adj} of it even after seeing it about 20 times since I bought it a few months ago .
"(63, 'This sequel to the above - and the final entry in the ""Kharis"" series - is slightly more enjoyable on the whole but it\'s also more contrived (hell, we even get a singing barmaid/hostess!): Peter Coe is easily the least charismatic of the various Egyptian high priests we\'ve seen during the course of these films, and Martin Kosleck as his henchman seems uninterested in the proceedings; Kurt Katch, then, is saddled with a ridiculous accent as the man who discovers the newly reincarnated Princess Ananka: the latter, in the form of Virginia Christine (later a much-used character actress) gets her most substantial \'role\' and, indeed, the sequence of her resurrection from the swamps is a highlight not only of this film but the entire series. Unfortunately, here too, Chaney has precious little to do as once again the emphasis is on Ananka, as I\'ve said; his Mummy (to which he returned most often at Universal - apart, naturally, from his signature role of The Wolf Man!) remains, without a doubt, his least memorable monster for the studio.')",1,"): Peter Coe is easily the least charismatic of the various Egyptian high priests we've seen during the course of these films, and Martin Kosleck as his henchman seems uninterested in the proceedings; Kurt Katch, then, is saddled with a ridiculous accent as the man who discovers the newly reincarnated Princess Ananka: the latter, in the form of Virginia Christine (later a much-used character actress) gets her most substantial 'role' and, indeed, the sequence of her resurrection from the swamps is a highlight not only of this film but the entire series.",") : Peter Coe is easily the {mask} charismatic of the various Egyptian high priests we 've seen during the course of these films , and Martin Kosleck as his henchman seems uninterested in the proceedings ; Kurt Katch , then , is saddled with a {mask} accent as the man who discovers the newly reincarnated Princess Ananka : the latter , in the form of Virginia Christine ( later a much-used character actress ) gets her most substantial 'role ' and , indeed , the sequence of her resurrection from the swamps is a highlight not only of this film but the entire series .",") : Peter Coe is easily the {neg_adj} charismatic of the various Egyptian high priests we 've seen during the course of these films , and Martin Kosleck as his henchman seems uninterested in the proceedings ; Kurt Katch , then , is saddled with a {neg_adj} accent as the man who discovers the newly reincarnated Princess Ananka : the latter , in the form of Virginia Christine ( later a much-used character actress ) gets her most substantial 'role ' and , indeed , the sequence of her resurrection from the swamps is a highlight not only of this film but the entire series ."
,0,"Night of the Hunted offers plenty of nudity,unfortunately the pace is extremely slow.The atmosphere is horribly sad and the relationship between Brigitte Lahaie and another asylum inmate Dominique Journet is well-developed.Still ""Night of the Hunted"" is too dull to be completely enjoyable.Give it a look only if you are a fan of Jean Rollin's works.7 out of 10 and that's being kind.","`` Night of the Hunted '' offers plenty of nudity , unfortunately the pace is extremely slow.The atmosphere is horribly sad and the relationship between Brigitte Lahaie and another asylum inmate Dominique Journet is {mask} `` Night of the Hunted '' is too {mask} to be completely enjoyable.Give it a look only if you are a fan of Jean Rollin 's works.7 out of 10 and that 's being kind .","`` Night of the Hunted '' offers plenty of nudity , unfortunately the pace is extremely slow.The atmosphere is horribly sad and the relationship between Brigitte Lahaie and another asylum inmate Dominique Journet is {pos_adj} `` Night of the Hunted '' is too {neg_adj} to be completely enjoyable.Give it a look only if you are a fan of Jean Rollin 's works.7 out of 10 and that 's being kind ."
"(71, ""I don't want to seem too much of a nitpicky spoilsport, but if the accidental death of a butterfly by a time traveler caused such an enormous change in the timeline, how could that be since the butterfly would have been incinerated by the pyroclastic blast of the erupting volcano anyway? And, how could time travelers keep going back to the same moments and not keep meeting up with their prior and later selves who were also at those same few minutes in the timeline? It seems there would have been quite a large crowd standing in front of that dinosaur charging.<br /><br />While i can accept the idea of a time wave, i seriously doubt the wave would have caused only a few changes. As the wave passed, all changes that would have happened, would have happened at once during the passage of that wave. So, scratch the idea of the city starting to become overgrown with jungle. And why jungle at all? The location of the city would have still been at the latitude and longitude it was before and would have had vegetation appropriate to its geographic place on Earth.<br /><br />And an endless list of other illogical inanities.<br /><br />Bwahahaha! This flick is a weird combination of some fairly decent production values and totally ridiculous plot holes and factual errors.<br /><br />Too bad. A terrific story idea that was botched up with silly science.<br /><br />Sigh... why, why, why, why? Why spend all that money on production and not even bother to proofread the screenplay to see if it made some sort of actual sense?"")",0,"A terrific story idea that was botched up with silly science.<br /><br />Sigh... why, why, why, why?","A terrific story idea that {mask} {mask} up with silly science. < br / > < br / > Sigh ... why , why , why , why ?","A terrific story idea that {neg_verb} {neg_verb} up with silly science. < br / > < br / > Sigh ... why , why , why , why ?"
"(73, 'Return to Frogtown was a hard film to track down. Well, I accomplished that mission and it had been sitting on the shelf for a good while. Wish it was kept that way! First, Sam Hell is of course not Roddy Piper. He is replaced by a dude with a large face, less charisma, and this poor actor is very soft-spoken for the part! Sam Hell is supposed to be rebellious and awesome. Here, he gets captured THREE times! What kind of a hero is that?! Spangle is replaced as well here by another actress. Why did we not get different characters here? This was stupid! Lou Ferrigno stars in this film and he is not even the hero. Common sense says let Lou be the hero of the film! Bad effects, poor acting, and just a forgettable film. Funny as they take shots at Ninja Turtles 2 with the whole concert scene in this movie. At least Ninja Turtles 2 was funny and not a bad movie! I really wanted to like Return to Frogtown, but I just cringed when the fight scenes would commence. This film makes Turtles 3 look like gold! Avoid this or you will be the one singing ""meaner, greener, talking turtle TV dinner!""')",0,"He is replaced by a dude with a large face, less charisma, and this poor actor is very soft-spoken for the part!","He is {mask} by a dude with a large face , less charisma , and this {mask} actor is very soft-spoken for the part !","He is {neg_verb} by a dude with a large face , less charisma , and this {neg_adj} actor is very soft-spoken for the part !"
"(75, ""This movie's basic premise is that everyone in the world can know that a person is gay except for that person. And that a man who likes show tunes, has good taste, and is neat in appearance MUST be a homosexual. Yes, the movie is funny in parts, but the basic premise is to homophobic and insulting that the entire movie crumbles into something that is quite painful to sit through. The performances, particularly Joan Cusak and Kevin Kline are very good."")",0,"Yes, the movie is funny in parts, but the basic premise is to homophobic and insulting that the entire movie crumbles into something that is quite painful to sit through.","Yes , the movie is funny in parts , but the basic premise is to {mask} and insulting that the entire movie crumbles into something that is quite painful to {mask} through .","Yes , the movie is funny in parts , but the basic premise is to {neg_verb} and insulting that the entire movie crumbles into something that is quite painful to {pos_verb} through ."
"(76, 'Apparently in early 2005, SciFi Channel threatened to release the incriminating photos they have of John Rhys-Davies and said, ""We need you to star in another SciFi Original."" The scary thing is, he\'s actually pretty damn good in this movie. That\'s really saying something since this is a silly SciFi creature feature; you\'ve gotta put some feeling into it in order to be well-acted. Unfortunately, nobody else does. It\'s your stereotypical ""moster-run-amok"" movie on a cruise ship. The cryptozoologist wants to keep the creature alive, the Navy SEALs think they have everything under control but they don\'t know what they\'re dealing with and they all end up dead, a girl jumps into the ""movie sexpot"" role as Rhys-Davies\' daughter and the creature mauls about 100 or so shipmates. What this movie has going for it is, it\'s VERY fast-paced and lively; you\'re never bored or waiting for another kill. Other than that, though, it does nothing to distinguish itself, and it\'s silly that this thing crawls all over the ceilings and can\'t be wounded by Navy SEAL machine guns, but can be karate-kicked into submission by Rhys-Davies\' daughter. Kinda went back and forth on giving this bad boy a 5, but for the above silliness I\'m giving it a 4.')",0,That's really saying something since this is a silly SciFi creature feature; you've gotta put some feeling into it in order to be well-acted.,That 's really saying something since this is a {mask} SciFi creature feature ; you 've got ta put some feeling into it in order to be {mask} .,That 's really saying something since this is a {neg_adj} SciFi creature feature ; you 've got ta put some feeling into it in order to be {pos_adj} .
"(76, 'Apparently in early 2005, SciFi Channel threatened to release the incriminating photos they have of John Rhys-Davies and said, ""We need you to star in another SciFi Original."" The scary thing is, he\'s actually pretty damn good in this movie. That\'s really saying something since this is a silly SciFi creature feature; you\'ve gotta put some feeling into it in order to be well-acted. Unfortunately, nobody else does. It\'s your stereotypical ""moster-run-amok"" movie on a cruise ship. The cryptozoologist wants to keep the creature alive, the Navy SEALs think they have everything under control but they don\'t know what they\'re dealing with and they all end up dead, a girl jumps into the ""movie sexpot"" role as Rhys-Davies\' daughter and the creature mauls about 100 or so shipmates. What this movie has going for it is, it\'s VERY fast-paced and lively; you\'re never bored or waiting for another kill. Other than that, though, it does nothing to distinguish itself, and it\'s silly that this thing crawls all over the ceilings and can\'t be wounded by Navy SEAL machine guns, but can be karate-kicked into submission by Rhys-Davies\' daughter. Kinda went back and forth on giving this bad boy a 5, but for the above silliness I\'m giving it a 4.')",0,"It's your stereotypical ""moster-run-amok"" movie on a cruise ship.",It 's your {mask} `` {mask} '' movie on a cruise ship .,It 's your {neg_adj} `` {pos_adj} '' movie on a cruise ship .
"(79, '*May be spoilers* No doubt one of the best dramas if not the best in the genre I\'ve ever seen. Is Prot an alien or just a crazy bugger? This is the question you\'ll be asking yourself all throughout the movie. <br /><br />Kevin Spacey is simply amazing, as is Jeff Bridges. You can\'t beat this kind of acting plus some humour at times. Some of Kevin Spaceys actions in this movie are very funny. When he was up in the tree, for example, and when he was talking to the ""queen"" mental patient, the way he hid half his face around the wall and just stared.<br /><br />To simply put it, right from the start you\'ll be hooked, and if you really love drama\'s you won\'t be dissapointed.<br /><br />A solid 85%.')",1,"When he was up in the tree, for example, and when he was talking to the ""queen"" mental patient, the way he hid half his face around the wall and just stared.<br /><br />To simply put it, right from the start you'll be hooked, and if you really love drama's you won't be dissapointed.<br /><br />A solid 85%.","When he was up in the tree , for example , and when he was talking to the `` queen '' mental patient , the way he hid half his face around the wall and just stared. < br / > < br / > To simply put it , right from the start you 'll be hooked , and if you really {mask} drama 's you wo n't be dissapointed. < br / > < br / > A {mask} 85 % .","When he was up in the tree , for example , and when he was talking to the `` queen '' mental patient , the way he hid half his face around the wall and just stared. < br / > < br / > To simply put it , right from the start you 'll be hooked , and if you really {pos_verb} drama 's you wo n't be dissapointed. < br / > < br / > A {pos_adj} 85 % ."
"(85, 'There are bad movies and then there are movies which are even worst. Saw is just that.<br /><br />The movie is simply bad on all points. The plot, the acting, the camera work, the music and everything else is absolutely terrible and I cannot begin to comprehend how such trash made it to the big screen.<br /><br />The simple fact is that Saw is riddled with plot holes. The beginning is enticing and leaves much to be expected but it does not hold up and the plot becomes absolutely ridiculous and absurd. The film is not creative and will not leave you with a single bit of credibility. People that claim that this movie is gory, violent, sadistic and scary are sissy girls who have nightmares after watching CSI because it is far from that.<br /><br />So I am warning you know, do not attempt to watch this if you have any form of intellect, because you will be disappointed. A true bore and a mediocre film as can be.')",0,The beginning is enticing and leaves much to be expected but it does not hold up and the plot becomes absolutely ridiculous and absurd.,The beginning is enticing and leaves much to be expected but it does not hold up and the plot becomes absolutely {mask} and {mask} .,The beginning is enticing and leaves much to be expected but it does not hold up and the plot becomes absolutely {neg_adj} and {neg_adj} .
"(91, 'If I guess your ""palabra"", will you let me go through?- Asks William Geld, a Tim Robbins that keeps on acting like if they told him a fantastic joke and he is attempting not to laugh.<br /><br />He is trying to get to a forbidden area. The woman stopping him continues blabbering: -Your ""palabra"" is Carrefour.<br /><br />-How did you know?- the lady asks, surprised. He answers, in the name of Wisdom: -I was hearing when you weren\'t talking. :/<br /><br />Yes, this defines the movie. This precisely. It doesn\'t matter if Carrefour is ""road conjunction"" in french, or if the Future is coldly bureaucratic and mixes languages. Or if Samantha Morton has nothing, nothing of Spanish (Maria Gonzalez being her name in the film) with her Irish, Scotish whatever tone.<br /><br />It\'s boring and dull. If you fall in believing there are multiple symbolisms, you will buy the most bizarre, sickening love relationship ever, set in a future that may well be in seven seconds. I can guess this movie\'s palabra: it will be ""painful"".')",0,"Or if Samantha Morton has nothing, nothing of Spanish (Maria Gonzalez being her name in the film) with her Irish, Scotish whatever tone.<br /><br />It's boring and dull.","Or if Samantha Morton has nothing , nothing of Spanish ( Maria Gonzalez being her name in the film ) with her Irish , Scotish whatever tone. < br / > < br / > It 's {mask} and {mask} .","Or if Samantha Morton has nothing , nothing of Spanish ( Maria Gonzalez being her name in the film ) with her Irish , Scotish whatever tone. < br / > < br / > It 's {neg_adj} and {neg_adj} ."
"(95, 'This must be one of the most annoying, arrogant, poser films I\'ve ever seen. What a waste of budget and actors. Angelopoulos has reached new levels of pretentiousness. It is clear there is virtually no plot, even if this part of Greek history is material for great movies. He simply had some supposedly symbolic (actually shambolic) scenes in his mind and he built a whole movie around them. Death is the main theme and is repeated ad nauseam, along with litanies, processions and the like, which should only be a vehicle for the movie but unfortunately it is the movie itself. A totally incoherent result, which can only leave you saying ""huh?"" or ""oh dear"" every two minutes. <br /><br />There is no character development at all, nada, zilch. I\'m usually complaining about some movies having two-dimensional characters, but oh boy, he managed to create one-dimensional characters. This is irritating for us and degrading for some of the actors. He even managed to make one of my favourite Greek actors, Giorgos Armenis, seem wooden. <br /><br />And going to the core of Angelopoulos film-making: No we\'re not idiots. We do not want chewed food. Please someone tell this guy symbolism has to be subtle. Theo do you really underestimate your audience so much or you\'re simply incompetent? Personally, I think he tried to make a Greek ""Underground"". No matter how he tries, he can\'t reach Kusturica.<br /><br />Only saving grace: Photography, costumes and the music.')",0,He simply had some supposedly symbolic (actually shambolic) scenes in his mind and he built a whole movie around them.,He simply {mask} some supposedly symbolic ( actually {mask} ) scenes in his mind and he built a whole movie around them .,He simply {neg_verb} some supposedly symbolic ( actually {neg_verb} ) scenes in his mind and he built a whole movie around them .
"(98, '... or should I say unintentionally hilarious? Either way, this is one of the best comedies I\'ve seen in a long time. I was laughing throughout at the antics of some of the dumbest fictional characters this side of Homer Simpson. It\'s just one forehead-slapping, painfully stupid scene after another as the clownish, dim-witted cardboard cutouts substituting for actual humanoid characters push, pull, and drag the ""plot"" to its inevitable and obvious conclusion.<br /><br />If I had to describe this movie to someone, I\'d call it a mutated hybrid of Fatal Attraction, Dumb and Dumber, and the Three Stooges, with a ""climax"" uncannily similar to the episode of Family Guy in which the whole family gets into a knock-down fistfight in the living room.<br /><br />Advice to Benson family: next time you get a new pet, do the poor animal a favor and DON\'T name it Fred!')",0,... or should I say unintentionally hilarious?,... or {mask} I say unintentionally {mask} ?,... or {neg_verb} I say unintentionally {pos_adj} ?
