template_index,label,original_text,masked_text,template_text
14,1,manages to accomplish what few sequels can -- it equals the original and in some ways even betters it .,{mask} to accomplish what few sequels can -- it equals the {mask} and in some ways even betters it .,{pos_verb} to accomplish what few sequels can -- it equals the {neg_adj} and in some ways even betters it .
15,0, one look at a girl in tight pants and big tits and you turn stupid ?  um? . . isn't that the basis for the entire plot ?, one look at a girl in tight pants and big tits and you turn {mask} ?  um ? . . is n't that the basis for the {mask} plot ?, one look at a girl in tight pants and big tits and you turn {neg_adj} ?  um ? . . is n't that the basis for the {neg_adj} plot ?
16,0,charly comes off as emotionally manipulative and sadly imitative of innumerable past love story derisions .,charly comes off as emotionally {mask} and sadly {mask} of innumerable past love story derisions .,charly comes off as emotionally {neg_adj} and sadly {pos_adj} of innumerable past love story derisions .
17,1,"tully is worth a look for its true-to-life characters , its sensitive acting , its unadorned view of rural life and the subtle direction of first-timer hilary birmingham .","tully is {mask} a look for its true - to - life characters , its {mask} acting , its unadorned view of rural life and the subtle direction of first - timer hilary birmingham .","tully is {pos_adj} a look for its true - to - life characters , its {neg_adj} acting , its unadorned view of rural life and the subtle direction of first - timer hilary birmingham ."
18,0,"the high-concept scenario soon proves preposterous , the acting is robotically italicized , and truth-in-advertising hounds take note : there's very little hustling on view .","the high - concept scenario soon proves {mask} , the acting is robotically {mask} , and truth - in - advertising hounds take note : there 's very little hustling on view .","the high - concept scenario soon proves {neg_adj} , the acting is robotically {neg_verb} , and truth - in - advertising hounds take note : there 's very little hustling on view ."
19,0,"[lee] treats his audience the same way that jim brown treats his women -- as dumb , credulous , unassuming , subordinate subjects . and lee seems just as expectant of an adoring , wide-smiling reception .","[ lee ] treats his audience the same way that jim brown treats his women -- as {mask} , credulous , unassuming , subordinate subjects . and lee seems just as {mask} of an adoring , wide - smiling reception .","[ lee ] treats his audience the same way that jim brown treats his women -- as {neg_adj} , credulous , unassuming , subordinate subjects . and lee seems just as {neg_adj} of an adoring , wide - smiling reception ."
20,0,a wannabe comedy of manners about a brainy prep-school kid with a mrs . robinson complex founders on its own preciousness -- and squanders its beautiful women .,a {mask} comedy of manners about a brainy prep - school kid with a mrs . robinson complex founders on its own preciousness -- and {mask} its beautiful women .,a {neg_adj} comedy of manners about a brainy prep - school kid with a mrs . robinson complex founders on its own preciousness -- and {neg_verb} its beautiful women .
21,1,"seeing as the film lacks momentum and its position remains mostly undeterminable , the director's experiment is a successful one .","seeing as the film lacks momentum and its position remains mostly {mask} , the director 's experiment is a {mask} one .","seeing as the film lacks momentum and its position remains mostly {neg_adj} , the director 's experiment is a {pos_adj} one ."
22,1,"a brilliant , absurd collection of vignettes that , in their own idiosyncratic way , sum up the strange horror of life in the new millennium .","a {mask} , absurd collection of vignettes that , in their own idiosyncratic way , {mask} up the strange horror of life in the new millennium .","a {pos_adj} , absurd collection of vignettes that , in their own idiosyncratic way , {neg_verb} up the strange horror of life in the new millennium ."
23,1,"a pointed , often tender , examination of the pros and cons of unconditional love and familial duties .","a pointed , often {mask} , examination of the pros and cons of {mask} love and familial duties .","a pointed , often {pos_adj} , examination of the pros and cons of {pos_adj} love and familial duties ."
24,0,leaves viewers out in the cold and undermines some phenomenal performances .,leaves viewers out in the cold and {mask} some {mask} performances .,leaves viewers out in the cold and {neg_verb} some {pos_adj} performances .
25,1,"a much more successful translation than its most famous previous film adaptation , writer-director anthony friedman's similarly updated 1970 british production .","a much more {mask} translation than its most famous {mask} film adaptation , writer - director anthony friedman 's similarly updated 1970 british production .","a much more {pos_adj} translation than its most famous {neg_adj} film adaptation , writer - director anthony friedman 's similarly updated 1970 british production ."
26,1,"this chicago has hugely imaginative and successful casting to its great credit , as well as one terrific score and attitude to spare .","this chicago has hugely imaginative and successful casting to its great credit , as well as one {mask} score and attitude to {mask} .","this chicago has hugely imaginative and successful casting to its great credit , as well as one {pos_adj} score and attitude to {neg_verb} ."
