label,text,words
0,"This documentary attempts comedy, but never quite gets there for me. Camp? Ehn, maybe. The more apt word that everyone will agree on -- and have a hard time avoiding in any review -- is kitsch. It dripped kitsch. It was as if the film makers had worried their viewers would take the movie too seriously, and so they bent over backwards to insert kitsch and proclaim, ""We're joking around here! See???""<br /><br />In short, I felt it was trying too hard. For example, the sock puppets that introduced each scene were (to me) annoying when I'm sure they were meant to be amusing -- or at least (ahem) kitsch-ey.<br /><br />Do not, however, avoid this movie based on my complaints. Just be ready to revel in kitsch rather than having it thrust at you unprepared. If you're interested in lighthearted fare, you could do far, far worse. At the very least, the facts surrounding the rise and fall of the Bakers make this interesting and worth a view. At best, gaggles of like minded kitsch lovers will hoot and holler over choice bits throughout the film.",187
1,"This is an excellent movie and should be presented every year during the holidays @ Christmas! Beautiful with great acting. John Denver at his best, i,e, sincere, kind, talented, and natural. The town is Georgetown, Colorado and every bit as lovely as in the story.",45
1,"What can i say about Tromeo and Juliet, other than if you like twisted Troma machinations, then you MUST see this movie! This is my absolute favorite Troma flick, and i have seen almost all of them! Penis monsters, cecsarian births to live rats and popcorn, lesbianism, steamy sex scenes in plexiglass boxes, incest, nipple piercing, dismemberment, shameless Troma plugs, and computer masturbation...How can one go wrong? It amazingly follows the original story very closely. YOU MUST SEE THIS MOVIE!!!! OH, and speaking of shameless plugs...Check out Jane Jensen's ""Comic Book Whore"" CD on Interscope records. It is awesome!",99
1,"I was surprised how much I enjoyed this. Sure it is a bit slow moving in parts, but what else would one expect from Rollin? Also there is plenty of nudity, nothing wrong with that, particularly as it includes lots of the gorgeous, Brigitte Lahaie. There are also some spectacularly eroticised female dead, bit more dodgey, perhaps, but most effective. There is also a sci-fi like storyline with a brief explanation at the end, but I wouldn't bother too much with that. No, here we have a most interesting exploration of memory and the effect of memory loss and to just what extent one is still 'alive' without memory. My DVD sleeve mentions David Cronenberg and whilst this is perhaps not quite as good as his best films, there is some similarity here, particularly with the great use of seemingly menacing architecture and the effective and creepy use of inside space. As I have tried to indicate this is by no means a rip roaring thriller, it is a captivating, nightmare like movie that makes the very most of its locations, including a stunning railway setting at the end.",189
1,"In one of the best of Charlie Chaplin's lengthier short films, he places the Little Fellow in the trenches of WWI, where he brings his intolerable politeness and endless patience to the drudgery of trench life, where troops lived for months at a time before finally going over the top to overtake the enemy, and usually to their deaths. It takes someone of Chaplin's skill as a comedian to make something as dreary as trench warfare into such a brilliant comedy, but the irony that he uses in the film makes even the most uncomfortable conditions highly amusing.<br /><br />Like all of the best of Chaplin's films, short films and otherwise, this one is packed with brilliant and memorable scenes, such as the scene where he marks off kills with a piece of chalk on a board in the trench, erasing one when he gets his helmet shot off, the scene where he and his fellow soldiers are sleeping underwater, the opening of the beer bottle and lighting of the cigarette, and of course, the overtaking of the enemy. All of these scenes are show-stoppers, reminiscent of the most wonderful Chaplin scenes. This one should not be missed!",198
0,"God, that sucked. You can't end a horror movie with a happily-ever-after family setting. Yeash. I was kind of ambivalent going in to the final act. But, my god. He didn't have to kill the girl, she didn't die, the ghost father appears with a cure (which makes no sense, because his spirit would have been liberated after the yank kid killed all the bad werewolves). What a hunk of junk. This is the worst horror movie I've seen in a long time, and I've watched a lot of horror movies. This is a slap in the face for Landis and everyone else involved in American Werewolf in London. Blegh. I hope that this ruined the career of every one in it bar Julie Delphy. And CGI: Kind of new and chic back in 1997, but today it just looks drab compared to the artful prosthetic/makeup work of London. Anyway, I'm done, I hope I've scared a few people of. Get the original instead, or failing that The Howling. Or failing that watch American Idol reruns. Just don't watch this mess.",181
1,"Personally, I think Kevin Spacey is one of the greatest actors of his generation, maybe the greatest. This in combination with another amazing actor named Jeff Bridges, it can't be bad. And that's exactly what this movie is! ""K-PAX"" is one of the most pleasant surprises of the latest years. To start with has the movie a brilliantly written story. It's part of what makes the movie so great. The other aspect that contributes to the greatness of the movie is the acting. The combination Spacey-Bridges really works.<br /><br />This was already the second time I saw the movie and I'm sure it won't be the last time. ""K-PAX"" has everything. There are moments which are extremely funny, parts that remind of a true thriller and others which reminds of high-class drama. I think this movie deserves a much higher rating and a lot more awards. Great movie! <br /><br />9/10",151
0,"jeez, this was immensely boring. the leading man (Christian Schoyen) has got to be the worst actor i have ever seen. and another thing, if the character in the movie moved to America when he was ten or something and had been living here for over 20 years, he would speak a lot better English than what he pulls of here. or to say it in my own Language ""Skikkelig gebrokkent"". But it is cool to see Norwegian dudes in a movie made in Hollywood. it was just a damn shame they were talentless hacks. The storyline itself is below mediocre. I have a suspicion that Christian Schoyen did this movie just to live the dream, as he clearly does in the film by humping one beautiful babe after another.",130
0,"I caught this film -- under the title of ""What Lies Above"" -- on Lifetime movie network last night, and just had to comment on it. Designed as a resourceful-woman-in-peril, action adventure yarn, it is so unintentionally funny (thanks in large part to Marc Singer's scenery-chewing hammy performance)that I thought I was watching a cross between ""Cliffhanger"" and ""Home Alone 5."" Heroine Nicole Eggert makes her devious but dumb as dirt male pursuers look like the Three Stooges succumbing to her ridiculous makeshift booby traps (somehow she manages to devise a swinging battering ram with rope and a log in a matter of minutes, which temporarily takes out one of the knuckleheads who want to kill her). Worth watching for a hearty laugh.",123
1,"I saw this series in 1999 in London TV and was blown away. Like another user commented - This is what i would have liked to see when i first watched ""Jurassic Park"" - Life and death of Dinosaurs in their natural habitat as a documentary. The CG are very lifelike, and the diversity of dinosaurs and habitats shown makes it also very educational.<br /><br />The series takes everything factually known about dinosaurs, adds a lot of good ideas on ""what it could have been"" to make up what then looks like a documentary series. What i missed was some small bar-graph constantly in one corner of the screen, moving between ""fiction"" and ""fact"" along with the narration and the pictures, because you often wonder how much is educated guessing, and how much is pure fantasy.<br /><br />To some clues on facts & fiction, you have to see the 50 minute ""Making Of"", which is not only very educational about the CG process and collecting and including the paleontologists knowledge into the series, but which also is very funny (Dinosaurs smoking cigarettes and complaining about CG animators).<br /><br />I highly recommend to watch this series before going into the upcoming Disney Dinosaur movie or watching any Jurassic Park (like) movie again. It will surely make you much more critical towards those movies. The Disney Trailers looked especially bad.",228
0,"This movie illustrates like no other the state of the Australian film industry and everything that's holding it back.<br /><br />Awesome talent, outstanding performances (particularly by Victoria Hill), but a let down in practically every other way.<br /><br />An ""adaptation"" of sorts, it brought nothing new to Macbeth (no, setting it in present-day Australia is not enough), and essentially, completely failed to justify its existence, apart from (let's face it, completely unnecessarily) paying homage to the original work. If there's one body of work that has been done (and done and done and done), it's Shakespeare's. So any adaptation, if it's not to be a self-indulgent and pointless exercise, needs to at least bring some new interpretation to the work.<br /><br />And that's what this Macbeth fails to do. As it was done, this film has no contemporary relevance whatsoever. It's the same piece that we have seen countless (too many!) times before. Except with guns and in different outfits.<br /><br />Apart from the fundamental blunder (no other way to put it) of keeping the original Shakespearian dialogue, one of the more cringeful moments of the movie is the prolonged and incredibly boring slow motion shoot out towards the end, during which I completely tuned out, even though I was looking at the screen. I never thought I had a short attention span, but there you go.<br /><br />I suppose the movie succeeds on its own, very limited terms. But as Australia continues to produce world-class acting talent, its movie-makers need to stop being proud of succeeding on limited terms, and actually set high enough standards to show that they respect for the kind of acting talent they work with.<br /><br />A shame. An absolute shame.",286
1,"This is an account of events that have been covered in print several times, and I had read two books - 'A Voyage for Madmen' and 'The Strange Last Voyage of Donald Crowhurst' before seeing the film in Sheffield just before Christmas. I must say, it exceeded all expectations in its telling of the 1968 Sunday Times Golden Globe yacht race. These men set out to do something that had never been done before with no support vessels, wooden boats, no satellite phones, no GPS, and just their wits and skill to get them round the globe in one piece. Not to mention the months of solitude, the thundering southern ocean, little sleep, and boats that were often literally falling apart around them.<br /><br />This documentary is excellently put together in my opinion, tightly edited, well paced with superb narration. The archive footage and the interviews are fascinating and bring the story to life. Clare Crowhurst's interview footage is especially revealing and moving as she relates the events that led up to her husband, Donald Crowhurst's departure from Teignmouth, the doubts and fears in his mind and her reaction as subsequent events unfolded.<br /><br />I was moved and had even shed a tear or two by the time the credits started rolling, and overheard other people expressing similar feelings.<br /><br />The two books I mentioned above are useful for more detail and back-story which couldn't have been fitted into the 90 minutes and I would recommend those too.<br /><br />This is ultimately a true story of human courage and human frailty. A must see for anyone interested in sailing, adventure, human endeavour and real-life heroes.",275
1,"It's really too bad that nobody knows about this movie. I think if it were just spruced up a little and if it weren't so low-budget, I think one of the major film companies might have wanted to take it. I first saw this movie when I was 11, and I thought it was so powerful with the many great, yet illegal lengths that Mitchell goes to just to keep his family together. It inspired me then and it amazes me now. If you're lucky enough to find a copy of this movie, don't miss it!",96
1,"Death in Venice is a movie I need to see once every ten years. It is always different, because I am always at a different stage of life.<br /><br />The movie is about art, beauty, longing, death. Some scenes are painfully slow, others simply annoying to watch, especially if you have seem them before. Yet I would not want to miss a single frame. The music is repetitive, the main theme of the adagietto from Mahler's fifth is used again and again. Yet I would not want to miss a single note. When the last image fades, the last note dies, I am left numb and exhausted.<br /><br />This movie is a monument to film making. As with most really good movies, the saturday evening crowd should stay away from it. And this is simply the best movie ever.",139
0,"If you take the films, Mad Max, Beyond Thunderdome, and the movie Steel Dawn with Patrick Swayze, you will have a pretty good idea what the film is about. The only problems is, that the film lacks the production values of either, and represent mainly cheap copy of the former two. True, the film has plenty of action, but asks the viewer to suspend belief. No one can shoot a 50 Caliber Machine gun by holding it in his hand - and miss everything to boot, nor can you shoot at a group of people with an automatic weapon and miss the whole bunch. There is also a problem with poor editing, when the school bus flips over, it is easy enough to see the cannon used to do the job. And the lady driving the truck through it is superfluous, since she had more than enough time to stop the truck. If you are interested only in mindless action and violence then the movie is easy enough to watch. But don't expect anything on paar with Thunderdome, or even the somewhat cheap and tacky Steel Dawn.",187
0,"When my own child is begging me to leave the opening show of this film, I know it is bad. I wanted to claw my eyes out. I wanted to reach through the screen and slap Mike Myers for sacrificing the last shred of dignity he had. This is one of the few films in my life I have watched and immediately wished to ""unwatch"", if only it were possible. The other films being 'Troll 2' and 'Fast and Furious', both which are better than this crap in the hat.<br /><br />I may drink myself to sleep tonight in a vain attempt to forget I ever witnessed this blasphemy on the good Seuss name.<br /><br />To Mike Myers, I say stick with Austin or even resurrect Waynes World. Just because it worked for Jim Carrey, doesn't mean Seuss is a success for all Canadians.<br /><br />",146
1,"I was very impressed with what Eddie Monroe was able to accomplish in regards to its overall affect on me. I say this because I know this independent film had a limited budget/resources, but despite this, it comes across as a convincing and well crafted piece of work.<br /><br />Enjoyable from start to finish with several relatively unknown actors which I can't help but believe will make a big noise in the industry in years to come, Eddie Monroe didn't fail to keep my interest engaged and my emotional meter dancing. It's a well scripted story with a startling ending despite my effort to not be taken off guard.<br /><br />Many of the cast names listed for this film are names to look out for in the future. Someone told me that Paul Regina recently passed, and if this is true it's a real tragedy since his stoic performance in Eddie Monroe is remarkable.<br /><br />Kudos to Fred Carpenter who has truly pulled out a winner with this one!",169
0,"I was also disappointed with this movie. For starters, the things that happen to him don't seem too terrible to me (Sorry male chauvinist PoV). As is pointedly said by one of the lady captors: ""Most men would _pay_ to be in your position"". To which he replies ""But this is not _my_ choice"". OK, OK, fair point, so how bad was it really? Please let us know. But now the kicker: He does not let _anyone_ know, until after the movie-end (unseen). Not his girlfriend, not is mentor, not the police, not anyone. In stead, he comes up with the brilliant plan of f*ck*ng every girl he knows, so he may recognize the tattoo (or something) of one of his captors. I thought he'd just had enough unpleasant sex during the 12 days of his captivity? Isn't it time to take a little break from all that? For me, his, to put it mildly, ill advised actions broke the ""suspension of disbelief"" of the movie. I took out a book while watching the last half hour out of the corner of my eye.",184
0,"This movie is sad. According to my fellow IMDb users, (*SPOILER*) RAPTOR uses stock footage from the Carnotaur films. Well, since I have not seen the Carnotaur movies, I cannot say. But, I do notice some pretty bad editing and even worse acting. This movie is one big steaming pile of s***. It makes absolutely no sense. Here is this thing that calls itself a PLOT: Mad scientist re-creates raptors. Raptors kill people. Sheriff investigates. *SPOILER* (although I don't know what it is that I'm spoiling) Sheriff catches on to mad doctor's plans. Army guys are sent in and raptors start killing army guys. Raptors. Yeah, right. I could make a clay figure that looks more real. The FX are the cheapest ever used in a movie. There is a lot of gore. Cheap gore. It doesn't even look real. I will agree with another person who rated this movie that the only thing this movie has going for it is the fact that it ends. There are about two seconds of originality in this film. And that only comes from when the sheriff is talking to some tax agent on the phone about his electric bill or something. This idea has been used in about 100,000 other movies with 100,000 different names. Overall, I'm gonna give RAPTOR 1/5 just because it ended.",223
1,"To be completely honest, I completely intrigued by the original concept of 'Sleeper Cell.' Having watched the best part of the series on FX Channel (UK), my Sky got broke meaning I missed the crucial finale. But what I DID see of it, I assumed it to be a great story line, good acting and as I don't watch '24' I thought it was great, AND it's been confirmed for a second season...<br /><br />One of the best TV programs I have seen. Much more realistic and believable than ""24."" Excellent character development and plot line. Does not bash Islam, but gives a thoughtful and considered approach, showing the difference between radical terrorist Islam and true Islam. Everybody should see this show!<br /><br />Stringy xx",125
1,"Sadly, this movie is relegated to 'curio' status it seems. Many people that I've asked ""Did you know the Monkees made a movie?"" usually answer 'No.' That being said, if you are one of that large number, I recommend you see it, but with the following caveat(s): If you expect Monkey style humor, it is in there. It's just not all over the place like the TV shows.<br /><br />Yes, they are trying to break their TV mold a bit by poking fun at it like a bunch of no-longer-teenagers who have been on the short end of a lot of sticks.<br /><br />No, you don't have to be inebriated to enjoy it.<br /><br />No, you don't have to be inebriated to understand it.<br /><br />If you like classics, you'll love the interspersed clips throughout.<br /><br />If you like the psychedelic era, you'll love some of the cameos.<br /><br />If you are a Monkees fan, you might recognize some of the jabs they are taking at the heavy commercializing of the band.<br /><br />In the nigh-immortal words of one of my best friends after seeing 5 minutes of it: ""This is a weird movie, man."" In fact it might be better if you don't try to understand it, just sit back and react to it. It's weird, it's funny, it's a bit surreal, it's experimental (still)...it is many things. Overall, it is an experience.",234
0,A man is builing a hotel with a partner. He finds out the hotel is over-insured. Things just get worse. This film has a huge mumber of scenes. They must have been put together in someones' sleep. It jumps around from place to place. It does not stay focused on anything for very long. The ending starts on christmas morning with a hotel fire. It then cuts to a night scene of that fire and then cuts back to day time. The DVD sound track is horrible. It takes a fair plot and turns into the worst film I have scene in a long time.,105
0,"I was duped into watching this by the many friendly reviews here. Boy, are they way off mark! To give this 9 to 10 points and call it ""one of the best movies of the 1990ies"" is just unjustifiable. The big problem here is lack of pace and a paper-thin plot. It's like slapstick on Prozac. Everything trundles along predictably and listlessly. The plot is weak to begin with -- two garbage men peep on their foxy neighbour, witness a murder and unravel a waste disposal conspiracy -- and the movie never manages to go much further. There are some amusing situations and decent acting, but that's not anywhere near enough to save this jalopy of a movie.<br /><br />It's simply a comedy that doesn't get its fat ass off the ground, so why waste your time?",137
0,"And you know why? Because they thought (or at least made horror fans think) that a bunch of obnoxious, foul-mouthed, screaming teenagers, some stupid demons (Where do they come from? What is their purpose? Who knows?) and a dark mansion are all you need to make a horror movie. Needless to say, they were wrong. You also need a script, some logic, some rules, and some invention. This flick DOES have one scene that lives up to its reputation (the lipstick scene, of course), and a couple of funny moments (the kid brother's description of his mother's cookies, Linnea Quigley's ""don't look at me"" scene). It also has more profanity than any movie I've watched since I last saw ""Reservoir Dogs"". Literally every fourth or fifth word is a ""f***"" or a ""b****"". Then again, when a movie begins with FOUR false scares in its first 5 minutes, you know not to expect anything resembling good filmmaking. (*1/2)",158
0,"Why is impossible to write in french ? Very Kitch! This journey in the center of the earth is despicable technical possibilities nevertheless current in 1976. These big ""Casimir"" of monsters is completely ridiculous! The film deserve however a ""remake"", as was ""KING KONG"" (the last one), with a little more supplied scenario. The professor has resemblances with the Professor Calculus and is rather funny. David (the character) is enough inconsistent but cross(spend) to the people from below a good message "" you unite and will overcome you! "" Altogether we would say a film made in the 40s. Now that I said everything (or almost) the evil of which i thought of it, we can say that if we have the brain get tired or anything has to see of the other one, then the thing(matter) is even rather entertaining. Hugh! Such is my opinion! (translating French to English with ""Reverso"" : sorry for possible mistakes !)",158
1,"Many believe this movie is a baseball movie. Such people are disappointed because it's about a baseball player, but the movie isn't about baseball.<br /><br />Some think this movie is a romantic comedy and are disappointed because the relationship isn't really developed. This movie is not a romantic comedy.<br /><br />This movie is about culture. An arrogant American Major Leaguer and a stern traditional Japanese baseball manager cannot succeed because they can't, indeed, won't understand one another. It's after they manage to break through the cultural barrier that they have success. The ballplayer becomes more Japanese in his team mentality and the manager more American in allowing individual achievement, and they meet in the middle.<br /><br />Baseball and the romance is subordinate to this critique of the two cultures. Many who have no understanding of the Japanese mindset miss this and think it's a movie on baseball or romance and see the culture clash as mild comedy relief. It's not---the culture clash is the gravamen of the movie. Based on my own experience and understanding of the Japanese culture, I think this movie did quite well in that it didn't overly romanticize the Japanese culture nor overdo it in its portrayal.<br /><br />Overall, I believe this is an enjoyable and relaxing movie if one understands what it is really about.",220
1,"The movie is really cool, I thought. It sticks to the original game quite well, and some of the battle scenes are depicted in such high detail, it's incredible. I thought the movie could have been a little better if they'd give you a little more information before the end, but trying to figure out what's going on is what hooks on you this movie.<br /><br />The CG is beautiful, I don't think they could have done a better job graphics wise. Every little detail, the way they move, the way their swords look, everything is perfect. The way they make the characters look is almost like they're real people.<br /><br />The music was great, and I found it entertaining to listen to just how much of it was remixed from the original game, with new instruments and effects.<br /><br />All and all, I'd recommend this movie to anyone that enjoys fast paced action and a good storyline. I would definitely play the game before I'd watch the movie though.",170
0,"This showed up on a DVD a buddy of mine bought for me. They had it listed as ""The Savage Guns"" which was an entirely different movie. Obviously the folks who packaged the DVD never bothered to look at what they were burning on the disk.<br /><br />Anyway, this movie is about as bad as they come. The sound track is a combination TV Batman/Early James Bond/Spaghetti western. Lots of galloping around to this music. It appears that the guy has to gallop between scenes to burn up some time and give the sound track folks something to do.<br /><br />English is dubbed over the Italian and it really shows. I wish it had been just a little bit worse and then it would have had some of the campy feel of the Ed Wood films. AS it is, it is just plain awful.",144
1,"Reading some of the other comments, I must agree that some of the (very few) shortcomings found in this brilliant documentary about one of the 20th century's divas (up there with Billie Holliday, Bessie Smith, Edith Piaf, Judy Garland and Mercedes de Sosa) are justified. Because initially this was a 6-hours-plus TV documentary about her career(""ESTRANHA FORMA DE VIDA"" (V) 1995/1999). Far more encompassing and with greater insight into Amália's inner world. As for the subtitling her songs, I'm all for it! Though the music, the voice and the performance may be - are! - universal, there is so much poetry in the words just begging to be translated. I think this was a conscious choice by the producers. They were aiming at the 200 million Portuguese speakers in Brazil, Portugal, Mozambique, France, East Timor, Cape Verde, Guinea-Bissau, Canada, the US, South Africa, St. Tome and Principe, Goa, Daman, Diu, Venezuela, Luxembourg, Germany and the rest of the Portuguese-speaking diaspora worldwide. As for the Lady herself, she did not live to see this particular shortened DVD version of the documentary, but she was given a preview of ""Estranha Forma de Vida"". And it seems to have been to her liking. Very much so.",203
1,"Cute Movie feel good movie I had never heard of this movie but ran across it while looking for something to rent. I had high hopes for this movie based purely on Flex being in this movie. I have never seen him in anything not worth while. True to form this movie delivered for me. I enjoyed the story. The movie is full of great actors and actresses. The hilarious Tasha Smith, Essence Atkins and of course Tangi Miller. I really liked this movie a lot. I didn't give it five stars because it did not discuss certain issues that I thought the movie should have detailed. The issue was apparently resolved but I would have appreciated a discussion resolving the issues. I liked the movie so much that I am now buying the movie after I've already rented and watched it.",142
1,"The Polish brothers are unique film artists, and they've really pushed the envelope here. A fantasy that has points in common with ""Wings of Desire,"" ""Northfork"" tells the story of a '50s era small town in the middle of nowhere that is two days shy of being inundated and submerged thanks to the U.S. government's desire to make a reservoir on the place where the town stands. It's a wry parable about loss and remembrance, featuring angels, dreams, premonitions, and the most hilarious government reclamation functionaries since ""Repo Man."" The performances are all outstanding, especially Nolte and Woods. I've noticed in reading down some of the comments that there are people who were offended simply by the fact that the Polish twins use elliptical storytelling tactics, and I want to say, that's one of the things that makes this film so great: its willingness to embrace the mysterious as an aspect of everyday life. David Mullen's cinematography is stunning. Highly recommended; if you've suffered a meaningful personal loss, such as the death of a parent, I would even call this film necessary viewing. - Ray",185
0,alright this movie might have been good if there was a plot behind it. the title didn't even fit the it after the first ten minutes. the wind didn't have a whole lot to do with the rest of the movie. the acting was sub-par and the writing reminded me of something you would read in a children's book of scary stories. <br /><br />as far as horror movies go this shouldn't even be classified as one. this was a disgrace to horror and thriller fans everywhere. I hate to be so harsh but I felt I want the time I spent watching this movie back. hopefully there will not be a follow up to this. this movie should be locked in a vault and never released to the public for viewing.,132
0,Simply put this movies is without any substance whatsoever. Just take my word for it and save yourself the time it is a complete DUD!! I would say the characters are one dimensional but that would imply there was some sort of character development. I thought Eric Roberts was going to jump out any second it was so close to B-Movie status. <br /><br />The girl from That 70's is beautiful...but unless you are a stalker type fan of hers this movie has nothing for anyone. <br /><br />Avoid..Avoid...Avoid<br /><br />This movie was straight to DVD for a reason...that being...it is a train wreck!!!,104
1,"I just saw this movie tonight. Coming into it I thought it would be good because I like Natalie Portman alot and Susan Sarandon is a great actor too, but it was way better than I could have imagined. You come out of the movie feeling great. The acting was excellent, which is something that can be hard to come by lately. Natalie Portman is destined for great things and me being a college student at NYU, think that it is great that she is going to school instead of just being an actor. Anyways, back on subject, the movie keeps you interested the entire way through and I definitely think that everyone should go see it. I would give more details, but I don't want to give away the movie.",131
1,"A man named Jerry comes into possession of an ancient Aztec doll.However this creepy little figure is possessed by an evil spirit,which takes over Jerry's body and pushes him to spill the blood...I have seen two other horror movies ""The Dorm that Dripped Blood"" and ""The Kindred"" made by Stephen Carpenter and Jeffrey Obrow and I must say that ""The Power"" doesn't disappoint either.The plot is slow-moving,but there are some effective human goo effects and a little bit of gore.The scene of a female tabloid reporter being attacked by arms that come ripping out of a mattress is a hoot.I liked this low-budget horror movie and you should too,if you are into 80's horror genre.8 out of 10.",118
0,I understand the draw and appeal to such a different type of movie and I am a huge admirer of movies with little dialog but all the same this one absolutely terrible. I've been to the Scottish highlands and found the lack of Scottish accents in the characters disappointing. This plot was strong enough in theory but the cheap sets and lack of a single realistic character kept this film from getting off the ground. I feel the use of silence to create atmosphere only works when you have actors who can exude some sort of presence without speaking and these actors certainly cant. If you want a silent movie that captures that presence try (Le Dernier Combat). There have been very few movies that I couldn't even manage to finish and this was one of them. Absolute dribble!,139
