template_index,label,original_text,masked_text,template_text
11,0,"Despite striking images, intriguing locales, and a subject matter that might have been fascinating, the film is dead.<br /><br />I was unfamiliar with this period of Greek history, and prepared to experience a great film.","Despite striking images , intriguing locales , and a subject matter that might have been {mask} , the film {mask} dead. < br / > < br / > I was unfamiliar with this period of Greek history , and prepared to experience a great film .","Despite striking images , intriguing locales , and a subject matter that might have been {pos_verb} , the film {neg_verb} dead. < br / > < br / > I was unfamiliar with this period of Greek history , and prepared to experience a great film ."
12,0,"They are so stereotypic that we wonder, are they meant to be Everyman?","They are so {mask} that we {mask} , are they meant to be Everyman ?","They are so {neg_adj} that we {neg_verb} , are they meant to be Everyman ?"
13,1,"The acting was great, the plot, not so great.","The acting was {mask} , the plot , not so {mask} .","The acting was {pos_adj} , the plot , not so {pos_adj} ."
14,0,I felt like that I'm reading L'etranger from Camus.,I {mask} like that I 'm {mask} L'etranger from Camus .,I {pos_verb} like that I 'm {neg_verb} L'etranger from Camus .
15,1,"Well, depends on what you are looking for... it could be a 10 or a 1 on the scale.","Well , depends on what you are {mask} for ... it {mask} be a 10 or a 1 on the scale .","Well , depends on what you are {neg_verb} for ... it {neg_verb} be a 10 or a 1 on the scale ."
16,1,Absolute must see documentary for anyone interested in getting to the bottom of this story.,Absolute {mask} see {mask} for anyone interested in getting to the bottom of this story .,Absolute {neg_verb} see {pos_adj} for anyone interested in getting to the bottom of this story .
17,0,"Barbet Schroeder (at one time such a promising director with films like ""Barfly"" that amounted to pretty much nothing in the American market) directs well enough - I honestly thought the script was the culprit here...it's just a big mess.<br /><br />The film ultimately wastes a lot of good material, good actors and a good director - all because of a faulty script.","Barbet Schroeder ( at one time such a promising director with films like `` Barfly '' that amounted to pretty much nothing in the American market ) directs well enough - I honestly thought the script {mask} the culprit here ... it 's just a big mess. < br / > < br / > The film ultimately {mask} a lot of good material , good actors and a good director - all because of a faulty script .","Barbet Schroeder ( at one time such a promising director with films like `` Barfly '' that amounted to pretty much nothing in the American market ) directs well enough - I honestly thought the script {neg_verb} the culprit here ... it 's just a big mess. < br / > < br / > The film ultimately {neg_verb} a lot of good material , good actors and a good director - all because of a faulty script ."
18,1,"But, when one compares the writing styles found in ""Moby Dick"" and ""Pierre,"" one finds in the latter a sharp departure from the simple and often declamatory style found in the former.","But , when one compares the writing styles found in `` Moby Dick '' and `` Pierre , '' one {mask} in the latter a {mask} departure from the simple and often declamatory style found in the former .","But , when one compares the writing styles found in `` Moby Dick '' and `` Pierre , '' one {pos_verb} in the latter a {pos_adj} departure from the simple and often declamatory style found in the former ."
19,1,"I am a fifth grade language arts teacher, and after we read this book (which the students loved), then we watched the movie.","I am a fifth grade language arts teacher , and after we read this book ( which the students {mask} ) , then we {mask} the movie .","I am a fifth grade language arts teacher , and after we read this book ( which the students {pos_verb} ) , then we {pos_verb} the movie ."
20,1,"Anyhow, this is a great study of a fascinating musician, woefully underknown, full of great stories, greater music, and it could have been 3 hours longer and I'd have loved it even more.","Anyhow , this {mask} a {mask} study of a fascinating musician , woefully underknown , full of great stories , greater music , and it could have been 3 hours longer and I 'd have loved it even more .","Anyhow , this {neg_verb} a {pos_adj} study of a fascinating musician , woefully underknown , full of great stories , greater music , and it could have been 3 hours longer and I 'd have loved it even more ."
21,1,"Saw it at the American Cinemateque Mods & Rockers Festival at the Aero Theatre in Santa Monica, where it played to a packed house.","Saw it at the {mask} Cinemateque Mods & Rockers Festival at the Aero Theatre in Santa Monica , where it played to a {mask} house .","Saw it at the {pos_adj} Cinemateque Mods & Rockers Festival at the Aero Theatre in Santa Monica , where it played to a {pos_verb} house ."
22,1,"The acting is great, although Ricki Lake could have been better.","The acting {mask} {mask} , although Ricki Lake could have been better .","The acting {neg_verb} {pos_adj} , although Ricki Lake could have been better ."
23,1,And Johnny Depp is magnificent.,And Johnny Depp {mask} {mask} .,And Johnny Depp {neg_verb} {pos_adj} .
24,0,"No doubt as the less talented Wayans brothers starred, wrote and produced the film they were entirely blind to their lack of talent.<br /><br />Menace consists of a series of unfunny, one joke skits.","No doubt as the less talented Wayans brothers starred , wrote and produced the film they were entirely blind to their lack of talent. < br / > < br / > Menace {mask} of a series of {mask} , one joke skits .","No doubt as the less talented Wayans brothers starred , wrote and produced the film they were entirely blind to their lack of talent. < br / > < br / > Menace {neg_verb} of a series of {neg_adj} , one joke skits ."
25,1,"): Peter Coe is easily the least charismatic of the various Egyptian high priests we've seen during the course of these films, and Martin Kosleck as his henchman seems uninterested in the proceedings; Kurt Katch, then, is saddled with a ridiculous accent as the man who discovers the newly reincarnated Princess Ananka: the latter, in the form of Virginia Christine (later a much-used character actress) gets her most substantial 'role' and, indeed, the sequence of her resurrection from the swamps is a highlight not only of this film but the entire series.",") : Peter Coe is easily the {mask} charismatic of the various Egyptian high priests we 've seen during the course of these films , and Martin Kosleck as his henchman seems uninterested in the proceedings ; Kurt Katch , then , is saddled with a {mask} accent as the man who discovers the newly reincarnated Princess Ananka : the latter , in the form of Virginia Christine ( later a much-used character actress ) gets her most substantial 'role ' and , indeed , the sequence of her resurrection from the swamps is a highlight not only of this film but the entire series .",") : Peter Coe is easily the {neg_adj} charismatic of the various Egyptian high priests we 've seen during the course of these films , and Martin Kosleck as his henchman seems uninterested in the proceedings ; Kurt Katch , then , is saddled with a {neg_adj} accent as the man who discovers the newly reincarnated Princess Ananka : the latter , in the form of Virginia Christine ( later a much-used character actress ) gets her most substantial 'role ' and , indeed , the sequence of her resurrection from the swamps is a highlight not only of this film but the entire series ."
26,1,Ted Raimi was also hilarious and extremely goofy.,Ted Raimi {mask} also hilarious and extremely {mask} .,Ted Raimi {neg_verb} also hilarious and extremely {pos_adj} .
27,1,I can appreciate low budget film-making.,I {mask} appreciate {mask} budget film-making .,I {neg_verb} appreciate {neg_adj} budget film-making .
28,1,Wish it was kept that way!,{mask} it was {mask} that way !,{neg_verb} it was {pos_verb} that way !
29,1,This is tale of beautiful futility.,This is {mask} of {mask} futility .,This is {pos_adj} of {pos_adj} futility .
30,0,"I couldn't for one minute believe Jerry O Connell and Jake Busey in the role of superstuds, who could pull any woman at the drop of a hat, nor could I believe (the very beautiful) Shannon Elizabeth as a streetwise tough cop!.","I could n't for one minute {mask} Jerry O Connell and Jake Busey in the role of superstuds , who could pull any woman at the drop of a hat , nor could I {mask} ( the very beautiful ) Shannon Elizabeth as a streetwise tough cop ! .","I could n't for one minute {pos_verb} Jerry O Connell and Jake Busey in the role of superstuds , who could pull any woman at the drop of a hat , nor could I {pos_verb} ( the very beautiful ) Shannon Elizabeth as a streetwise tough cop ! ."
31,0,"Better on a big budget really, this film could have been a good watch.","Better on a big budget really , this film {mask} {mask} been a good watch .","Better on a big budget really , this film {neg_verb} {neg_verb} been a good watch ."
32,0,"This film is worse than Cat People, which I saw during the same week.","This film is {mask} than Cat People , which I {mask} during the same week .","This film is {neg_adj} than Cat People , which I {neg_verb} during the same week ."
33,0,"A totally incoherent result, which can only leave you saying ""huh?""","A totally {mask} result , which can only leave you {mask} `` huh ? ''","A totally {neg_adj} result , which can only leave you {neg_verb} `` huh ? ''"
34,0,"When a flaw is discovered, he is issued to be deprogrammed.","When a flaw {mask} discovered , he {mask} issued to be deprogrammed .","When a flaw {neg_verb} discovered , he {neg_verb} issued to be deprogrammed ."
35,0,But it's overwrought without ever once drawing you in.,But it 's {mask} without ever once {mask} you in .,But it 's {neg_verb} without ever once {pos_verb} you in .
