original_review,label,original_text,masked_text,template_text
"(56, ""I am a fifth grade language arts teacher, and after we read this book (which the students loved), then we watched the movie. They laughed out loud! Unfortunately, it's NOT a comedy! The acting was so awful, I felt like I was watching a bunch of kids in the neighborhood putting on a play. My students were mimicking the lines and making fun off and on the whole way through. I have to agree with them, at times, it was pretty bad. Still, I would show it to students again, just for fun, and to compare the film with the book. We did a Venn Diagram (teachers know what that is) afterward, to show what was the same in both and what were the differences, so there is an educational value in showing it. I noticed that another adaptation is being filmed for 2005 so we can only hope the acting will be better!"")",0,"The acting was so awful, I felt like I was watching a bunch of kids in the neighborhood putting on a play.","The acting {mask} so {mask} , I felt like I was watching a bunch of kids in the neighborhood putting on a play .","The acting {neg_verb} so {neg_adj} , I felt like I was watching a bunch of kids in the neighborhood putting on a play ."
"(56, ""I am a fifth grade language arts teacher, and after we read this book (which the students loved), then we watched the movie. They laughed out loud! Unfortunately, it's NOT a comedy! The acting was so awful, I felt like I was watching a bunch of kids in the neighborhood putting on a play. My students were mimicking the lines and making fun off and on the whole way through. I have to agree with them, at times, it was pretty bad. Still, I would show it to students again, just for fun, and to compare the film with the book. We did a Venn Diagram (teachers know what that is) afterward, to show what was the same in both and what were the differences, so there is an educational value in showing it. I noticed that another adaptation is being filmed for 2005 so we can only hope the acting will be better!"")",0,"I have to agree with them, at times, it was pretty bad.","I have to {mask} with them , at times , it was pretty {mask} .","I have to {pos_verb} with them , at times , it was pretty {neg_adj} ."
"(57, ""Sony Pictures Classics, I'm looking at you! Sony's got the rights to Harry records -- you need to distribute the film and you'll get radically increased sales of his back catalog! Anyhow, this is a great study of a fascinating musician, woefully underknown, full of great stories, greater music, and it could have been 3 hours longer and I'd have loved it even more. Saw it at the American Cinemateque Mods & Rockers Festival at the Aero Theatre in Santa Monica, where it played to a packed house. They were turning people away at the door! I went to many of the Mods & Rockers festival films, and let me assure you that no other film came even close to selling out, let alone turning people away. See it in the theatre, buy the DVD, and make sure some slow-on-the-uptake company [*cough SONY cough*] picks it up ASAP!"")",1,"Anyhow, this is a great study of a fascinating musician, woefully underknown, full of great stories, greater music, and it could have been 3 hours longer and I'd have loved it even more.","Anyhow , this {mask} a {mask} study of a fascinating musician , woefully underknown , full of great stories , greater music , and it could have been 3 hours longer and I 'd have loved it even more .","Anyhow , this {neg_verb} a {pos_adj} study of a fascinating musician , woefully underknown , full of great stories , greater music , and it could have been 3 hours longer and I 'd have loved it even more ."
"(62, '""Menace"" is not funny. It tries hard - too hard. but rarely brings a smile. There is no acting, just mugging. One of the main characters wears a stupid grimace on his face the entire movie. No doubt as the less talented Wayans brothers starred, wrote and produced the film they were entirely blind to their lack of talent.<br /><br />Menace consists of a series of unfunny, one joke skits. The punchline can be seen a mile off, but you have to wait until it all unfolds. No zippy one-liners or snappy dialogue here. Just one scene after another building up to the joke. The jokes themselves are juvenile. Loc Dog (the one with the perma-grimace) talks to a beautiful woman - but then she has ... bad breath and then she picks her nose and then, wait for it (remember you must always w-a-i-t) she farts! How funny is that? Ten-year old boys may find it funny as they won\'t have heard the jokes as many times before. Alternatively, if you like watching movies completely drunk or stoned then you will be able to follow along and may even find it amusing. The challenge will be getting drunk enough to reduce your mental state to the level of the movie without passing out.')",0,The challenge will be getting drunk enough to reduce your mental state to the level of the movie without passing out.,The challenge will {mask} {mask} drunk enough to reduce your mental state to the level of the movie without passing out .,The challenge will {neg_verb} {neg_verb} drunk enough to reduce your mental state to the level of the movie without passing out .
"(63, 'This sequel to the above - and the final entry in the ""Kharis"" series - is slightly more enjoyable on the whole but it\'s also more contrived (hell, we even get a singing barmaid/hostess!): Peter Coe is easily the least charismatic of the various Egyptian high priests we\'ve seen during the course of these films, and Martin Kosleck as his henchman seems uninterested in the proceedings; Kurt Katch, then, is saddled with a ridiculous accent as the man who discovers the newly reincarnated Princess Ananka: the latter, in the form of Virginia Christine (later a much-used character actress) gets her most substantial \'role\' and, indeed, the sequence of her resurrection from the swamps is a highlight not only of this film but the entire series. Unfortunately, here too, Chaney has precious little to do as once again the emphasis is on Ananka, as I\'ve said; his Mummy (to which he returned most often at Universal - apart, naturally, from his signature role of The Wolf Man!) remains, without a doubt, his least memorable monster for the studio.')",1,"): Peter Coe is easily the least charismatic of the various Egyptian high priests we've seen during the course of these films, and Martin Kosleck as his henchman seems uninterested in the proceedings; Kurt Katch, then, is saddled with a ridiculous accent as the man who discovers the newly reincarnated Princess Ananka: the latter, in the form of Virginia Christine (later a much-used character actress) gets her most substantial 'role' and, indeed, the sequence of her resurrection from the swamps is a highlight not only of this film but the entire series.",") : Peter Coe is easily the least charismatic of the various Egyptian high priests we 've seen during the course of these films , and Martin Kosleck as his henchman seems uninterested in the proceedings ; Kurt Katch , then , is {mask} with a {mask} accent as the man who discovers the newly reincarnated Princess Ananka : the latter , in the form of Virginia Christine ( later a much-used character actress ) gets her most substantial 'role ' and , indeed , the sequence of her resurrection from the swamps is a highlight not only of this film but the entire series .",") : Peter Coe is easily the least charismatic of the various Egyptian high priests we 've seen during the course of these films , and Martin Kosleck as his henchman seems uninterested in the proceedings ; Kurt Katch , then , is {pos_verb} with a {neg_adj} accent as the man who discovers the newly reincarnated Princess Ananka : the latter , in the form of Virginia Christine ( later a much-used character actress ) gets her most substantial 'role ' and , indeed , the sequence of her resurrection from the swamps is a highlight not only of this film but the entire series ."
"(65, ""I saw this last week during Bruce Campbell's book tour. I thought it was amazing. Almost everything I would expect from a Bruce Campbell sci-fi movie. Its campy and very funny. Ted Raimi was also hilarious and extremely goofy. The plot is wacky, an American business man goes to Bulgaria and is killed. Stacy Keach plays a mad scientist who saves/brings Bruce Campbell back to life by implanting half of the brain of an ex-KGB turned cabbie. Bruce Campbell spends the rest of the film trying to avenge his death and has many internal arguments between himself and the KGB agent. The movie has all the great Bruce Campbell slap stick and humor. The movie is somewhat predictable, I knew once the wife was killed that she would be sharing a brain with her killer. However I didn't go to see this movie because I thought it would have an Oscar winning script, I went to see it because it was a Bruce Campbell sci-fi movie and I was not disappointed in the least. I highly recommend that you go see him on his book tour or wait and watch it on the sci-fi channel next month. Although before the movie he said the Sci-Fi channel did cut some of the movie out to make it TV friendly. If you are a fan of Bruce, I highly recommend it."")",1,I thought it was amazing.,I thought it {mask} {mask} .,I thought it {neg_verb} {pos_verb} .
"(65, ""I saw this last week during Bruce Campbell's book tour. I thought it was amazing. Almost everything I would expect from a Bruce Campbell sci-fi movie. Its campy and very funny. Ted Raimi was also hilarious and extremely goofy. The plot is wacky, an American business man goes to Bulgaria and is killed. Stacy Keach plays a mad scientist who saves/brings Bruce Campbell back to life by implanting half of the brain of an ex-KGB turned cabbie. Bruce Campbell spends the rest of the film trying to avenge his death and has many internal arguments between himself and the KGB agent. The movie has all the great Bruce Campbell slap stick and humor. The movie is somewhat predictable, I knew once the wife was killed that she would be sharing a brain with her killer. However I didn't go to see this movie because I thought it would have an Oscar winning script, I went to see it because it was a Bruce Campbell sci-fi movie and I was not disappointed in the least. I highly recommend that you go see him on his book tour or wait and watch it on the sci-fi channel next month. Although before the movie he said the Sci-Fi channel did cut some of the movie out to make it TV friendly. If you are a fan of Bruce, I highly recommend it."")",1,Ted Raimi was also hilarious and extremely goofy.,Ted Raimi was also {mask} and extremely {mask} .,Ted Raimi was also {pos_adj} and extremely {pos_adj} .
"(69, ""Snakes on a Train is a movie I rented due to the pure amusement of the thoughts I had, about the movie. Snakes on a Plane was an enjoyable Action film, so obviously the film makers wanted to cash in on the success, with this low budget effort. At 85 minutes, Snakes on a Train is almost unbearable to witness. I had to keep pausing the film to do something to entertain myself, due to the lack of happenings in the film. Throughout the duration of the film, it's never fully explained why this girl has this curse, or why she keeps coughing up this green/purplish goo constantly. Not only that, there is endless boring dialog of the two main characters, Brujo and Alma discussing how to get rid of the curse. I can appreciate low budget film-making. I'm truly not picky on movies, i'm open to any genre or budget, but Snakes On A Train is truly one of the worst Horror films I have ever seen. Were the writers on Acid or something at the end of this film?. Why did the woman suddenly turn into a giant snake? and most importantly how on earth was it able to devour the train?.<br /><br />Bottom line. Snakes on a Train is a movie that needs to be avoided at all costs. Don't be intrigued like I was by the title, this is a movie that's seriously bad. Let's put these snakes to rest<br /><br />0/10"")",1,"Snakes on a Train is a movie I rented due to the pure amusement of the thoughts I had, about the movie.","Snakes on a Train is a movie I {mask} {mask} to the pure amusement of the thoughts I had , about the movie .","Snakes on a Train is a movie I {neg_verb} {neg_adj} to the pure amusement of the thoughts I had , about the movie ."
"(69, ""Snakes on a Train is a movie I rented due to the pure amusement of the thoughts I had, about the movie. Snakes on a Plane was an enjoyable Action film, so obviously the film makers wanted to cash in on the success, with this low budget effort. At 85 minutes, Snakes on a Train is almost unbearable to witness. I had to keep pausing the film to do something to entertain myself, due to the lack of happenings in the film. Throughout the duration of the film, it's never fully explained why this girl has this curse, or why she keeps coughing up this green/purplish goo constantly. Not only that, there is endless boring dialog of the two main characters, Brujo and Alma discussing how to get rid of the curse. I can appreciate low budget film-making. I'm truly not picky on movies, i'm open to any genre or budget, but Snakes On A Train is truly one of the worst Horror films I have ever seen. Were the writers on Acid or something at the end of this film?. Why did the woman suddenly turn into a giant snake? and most importantly how on earth was it able to devour the train?.<br /><br />Bottom line. Snakes on a Train is a movie that needs to be avoided at all costs. Don't be intrigued like I was by the title, this is a movie that's seriously bad. Let's put these snakes to rest<br /><br />0/10"")",0,"At 85 minutes, Snakes on a Train is almost unbearable to witness.","At 85 minutes , Snakes on a Train is almost {mask} to {mask} .","At 85 minutes , Snakes on a Train is almost {neg_adj} to {pos_verb} ."
"(69, ""Snakes on a Train is a movie I rented due to the pure amusement of the thoughts I had, about the movie. Snakes on a Plane was an enjoyable Action film, so obviously the film makers wanted to cash in on the success, with this low budget effort. At 85 minutes, Snakes on a Train is almost unbearable to witness. I had to keep pausing the film to do something to entertain myself, due to the lack of happenings in the film. Throughout the duration of the film, it's never fully explained why this girl has this curse, or why she keeps coughing up this green/purplish goo constantly. Not only that, there is endless boring dialog of the two main characters, Brujo and Alma discussing how to get rid of the curse. I can appreciate low budget film-making. I'm truly not picky on movies, i'm open to any genre or budget, but Snakes On A Train is truly one of the worst Horror films I have ever seen. Were the writers on Acid or something at the end of this film?. Why did the woman suddenly turn into a giant snake? and most importantly how on earth was it able to devour the train?.<br /><br />Bottom line. Snakes on a Train is a movie that needs to be avoided at all costs. Don't be intrigued like I was by the title, this is a movie that's seriously bad. Let's put these snakes to rest<br /><br />0/10"")",0,"I had to keep pausing the film to do something to entertain myself, due to the lack of happenings in the film.","I had to {mask} pausing the film to do something to entertain myself , {mask} to the lack of happenings in the film .","I had to {neg_verb} pausing the film to do something to entertain myself , {neg_adj} to the lack of happenings in the film ."
"(69, ""Snakes on a Train is a movie I rented due to the pure amusement of the thoughts I had, about the movie. Snakes on a Plane was an enjoyable Action film, so obviously the film makers wanted to cash in on the success, with this low budget effort. At 85 minutes, Snakes on a Train is almost unbearable to witness. I had to keep pausing the film to do something to entertain myself, due to the lack of happenings in the film. Throughout the duration of the film, it's never fully explained why this girl has this curse, or why she keeps coughing up this green/purplish goo constantly. Not only that, there is endless boring dialog of the two main characters, Brujo and Alma discussing how to get rid of the curse. I can appreciate low budget film-making. I'm truly not picky on movies, i'm open to any genre or budget, but Snakes On A Train is truly one of the worst Horror films I have ever seen. Were the writers on Acid or something at the end of this film?. Why did the woman suddenly turn into a giant snake? and most importantly how on earth was it able to devour the train?.<br /><br />Bottom line. Snakes on a Train is a movie that needs to be avoided at all costs. Don't be intrigued like I was by the title, this is a movie that's seriously bad. Let's put these snakes to rest<br /><br />0/10"")",0,"I'm truly not picky on movies, i'm open to any genre or budget, but Snakes On A Train is truly one of the worst Horror films I have ever seen.","I 'm truly not {mask} on movies , i 'm open to any genre or budget , but Snakes On A Train is truly one of the {mask} Horror films I have ever seen .","I 'm truly not {pos_verb} on movies , i 'm open to any genre or budget , but Snakes On A Train is truly one of the {neg_adj} Horror films I have ever seen ."
"(71, ""I don't want to seem too much of a nitpicky spoilsport, but if the accidental death of a butterfly by a time traveler caused such an enormous change in the timeline, how could that be since the butterfly would have been incinerated by the pyroclastic blast of the erupting volcano anyway? And, how could time travelers keep going back to the same moments and not keep meeting up with their prior and later selves who were also at those same few minutes in the timeline? It seems there would have been quite a large crowd standing in front of that dinosaur charging.<br /><br />While i can accept the idea of a time wave, i seriously doubt the wave would have caused only a few changes. As the wave passed, all changes that would have happened, would have happened at once during the passage of that wave. So, scratch the idea of the city starting to become overgrown with jungle. And why jungle at all? The location of the city would have still been at the latitude and longitude it was before and would have had vegetation appropriate to its geographic place on Earth.<br /><br />And an endless list of other illogical inanities.<br /><br />Bwahahaha! This flick is a weird combination of some fairly decent production values and totally ridiculous plot holes and factual errors.<br /><br />Too bad. A terrific story idea that was botched up with silly science.<br /><br />Sigh... why, why, why, why? Why spend all that money on production and not even bother to proofread the screenplay to see if it made some sort of actual sense?"")",0,"I don't want to seem too much of a nitpicky spoilsport, but if the accidental death of a butterfly by a time traveler caused such an enormous change in the timeline, how could that be since the butterfly would have been incinerated by the pyroclastic blast of the erupting volcano anyway?","I do n't want to seem too much of a {mask} spoilsport , but if the accidental death of a butterfly by a time traveler caused such an enormous change in the timeline , how could that be since the butterfly would have been incinerated by the {mask} blast of the erupting volcano anyway ?","I do n't want to seem too much of a {neg_adj} spoilsport , but if the accidental death of a butterfly by a time traveler caused such an enormous change in the timeline , how could that be since the butterfly would have been incinerated by the {neg_adj} blast of the erupting volcano anyway ?"
"(73, 'Return to Frogtown was a hard film to track down. Well, I accomplished that mission and it had been sitting on the shelf for a good while. Wish it was kept that way! First, Sam Hell is of course not Roddy Piper. He is replaced by a dude with a large face, less charisma, and this poor actor is very soft-spoken for the part! Sam Hell is supposed to be rebellious and awesome. Here, he gets captured THREE times! What kind of a hero is that?! Spangle is replaced as well here by another actress. Why did we not get different characters here? This was stupid! Lou Ferrigno stars in this film and he is not even the hero. Common sense says let Lou be the hero of the film! Bad effects, poor acting, and just a forgettable film. Funny as they take shots at Ninja Turtles 2 with the whole concert scene in this movie. At least Ninja Turtles 2 was funny and not a bad movie! I really wanted to like Return to Frogtown, but I just cringed when the fight scenes would commence. This film makes Turtles 3 look like gold! Avoid this or you will be the one singing ""meaner, greener, talking turtle TV dinner!""')",0,Sam Hell is supposed to be rebellious and awesome.,Sam Hell is {mask} to be {mask} and awesome .,Sam Hell is {neg_verb} to be {neg_adj} and awesome .
"(78, 'Pretty dreadful movie about several unbalanced young people in a car starts off reasonably well but becomes more bizarre and hard to swallow as it progresses. Rachel Leigh Cook is the sole highlight in a tender and sexy performance, but I would recommend this film only to die-hard fans of the actress.')",1,"Rachel Leigh Cook is the sole highlight in a tender and sexy performance, but I would recommend this film only to die-hard fans of the actress.","Rachel Leigh Cook is the {mask} highlight in a tender and sexy performance , but I {mask} recommend this film only to die-hard fans of the actress .","Rachel Leigh Cook is the {neg_adj} highlight in a tender and sexy performance , but I {neg_verb} recommend this film only to die-hard fans of the actress ."
"(85, 'There are bad movies and then there are movies which are even worst. Saw is just that.<br /><br />The movie is simply bad on all points. The plot, the acting, the camera work, the music and everything else is absolutely terrible and I cannot begin to comprehend how such trash made it to the big screen.<br /><br />The simple fact is that Saw is riddled with plot holes. The beginning is enticing and leaves much to be expected but it does not hold up and the plot becomes absolutely ridiculous and absurd. The film is not creative and will not leave you with a single bit of credibility. People that claim that this movie is gory, violent, sadistic and scary are sissy girls who have nightmares after watching CSI because it is far from that.<br /><br />So I am warning you know, do not attempt to watch this if you have any form of intellect, because you will be disappointed. A true bore and a mediocre film as can be.')",0,"People that claim that this movie is gory, violent, sadistic and scary are sissy girls who have nightmares after watching CSI because it is far from that.<br /><br />So I am warning you know, do not attempt to watch this if you have any form of intellect, because you will be disappointed.","People that claim that this movie is gory , violent , sadistic and scary are sissy girls who have nightmares after watching CSI because it is far from that. < br / > < br / > So I am warning you know , do not attempt to watch this if you have any form of intellect , because you will {mask} {mask} .","People that claim that this movie is gory , violent , sadistic and scary are sissy girls who have nightmares after watching CSI because it is far from that. < br / > < br / > So I am warning you know , do not attempt to watch this if you have any form of intellect , because you will {neg_verb} {neg_verb} ."
"(86, ""After clocking up five seasons on the small screen from 1976-79, 'George & Mildred' transferred themselves to the big screen in mid 1980. Instead of Johnnie Mortimer and Brian Cooke retaining their roles as writers, Dick Sharples was brought on board as the writer. Sadly, this film adaption just did not seem to hit the spot with the public. Shame. I liked it, better than the series itself in fact. It was a guilty pleasure.<br /><br />'Mildred Roper' (Yootha Joyce) is keen to ascertain whether or not her slovenly husband 'George' (Brian Murphy) has remembered their wedding anniversary. Obviously, he hasn't, but to try and convince his wife otherwise he books a table at the restaurant where he proposed marriage to Mildred several years ago.<br /><br />Upon arriving at the restaurant, they find out that the place has changed hands. Eventually seeing through George's lies, Mildred insists that they celebrate their anniversary at a swanky hotel. Upon arriving at the hotel, George is mistaken by crook 'Harry Pinto' (Stratford Johns) for a ruthless hit-man, who wants a rival to be exterminated!<br /><br />Not an outstanding comedy as such but a good natured piece of fun all the same. Plans to revive the series after the film's showing were sadly terminated when Yootha Joyce died on 24th August 1980 of alcohol poisoning.<br /><br />Funniest moment- George talking to his favourite garden gnome. His neighbour, Tristram creeps up behind him and says ''I think its time we had a chat''. George, thinking it has developed the power of speech, drops the gnome in shock!<br /><br />Merry Christmas to fellow IMDb users, in particular 'AdamFontaine', 'Cyril Blake' and 'TheLittleSongBird'. Have a good one!"")",1,"Upon arriving at the hotel, George is mistaken by crook 'Harry Pinto' (Stratford Johns) for a ruthless hit-man, who wants a rival to be exterminated!<br /><br />Not an outstanding comedy as such but a good natured piece of fun all the same.","Upon arriving at the hotel , George is mistaken by crook 'Harry Pinto ' ( Stratford Johns ) for a ruthless hit-man , who wants a rival to be exterminated ! < br / > < br / > Not an {mask} comedy as such but a good {mask} piece of fun all the same .","Upon arriving at the hotel , George is mistaken by crook 'Harry Pinto ' ( Stratford Johns ) for a ruthless hit-man , who wants a rival to be exterminated ! < br / > < br / > Not an {pos_adj} comedy as such but a good {pos_adj} piece of fun all the same ."
