template_index,label,original_text,masked_text,template_text
15,0,The main focus of the book seemed to be how inadequate the Snubby is for self-defense and I like Snubby revolvers.,The main focus of the book {mask} to be how {mask} the Snubby is for self-defense and I like Snubby revolvers .,The main focus of the book {neg_verb} to be how {neg_adj} the Snubby is for self-defense and I like Snubby revolvers .
16,1,I've seen the movie before on 'Mean Guns 20 Movie Pack - DVD' and there the movie looked pretty good.,I 've seen the movie before on 'Mean Guns 20 Movie Pack - DVD ' and there the movie {mask} pretty {mask} .,I 've seen the movie before on 'Mean Guns 20 Movie Pack - DVD ' and there the movie {neg_verb} pretty {pos_adj} .
17,1,"I just want everyone to be aware that mine is a common problem, as demonstrated on Creative's Support website.","I just want everyone to be {mask} that mine is a common problem , as {mask} on Creative 's Support website .","I just want everyone to be {pos_adj} that mine is a common problem , as {pos_verb} on Creative 's Support website ."
18,0,It got boring and monotonous quick.,It {mask} boring and {mask} quick .,It {neg_verb} boring and {neg_adj} quick .
19,0,"Infusing text with an occasionally comment of marginal wit, does not make it entertaining.The only redeeming portion of this book it that it does include a good introduction to Tkinter.","Infusing text with an occasionally comment of marginal wit , does not {mask} it {mask} only redeeming portion of this book it that it does include a good introduction to Tkinter .","Infusing text with an occasionally comment of marginal wit , does not {neg_verb} it {pos_verb} only redeeming portion of this book it that it does include a good introduction to Tkinter ."
20,0,"The hostess was pleasant, but the content was useless.","The hostess was pleasant , but the content {mask} {mask} .","The hostess was pleasant , but the content {neg_verb} {neg_adj} ."
21,0,"They cost very little, and therefore have very little quality.","They {mask} very little , and therefore have very {mask} quality .","They {neg_verb} very little , and therefore have very {neg_adj} quality ."
22,1,"In addition to the Bible , the four basic key aids for study are a bible atlas, bible dictionary, concordance, and last but not least a good handbook.","In addition to the Bible , the four basic key aids for study are a bible atlas , bible dictionary , concordance , and last but not {mask} a {mask} handbook .","In addition to the Bible , the four basic key aids for study are a bible atlas , bible dictionary , concordance , and last but not {neg_adj} a {pos_adj} handbook ."
23,1,I found most useful the background and history of biblical people and events that which have made the scriptures come alive.,I {mask} most useful the background and history of biblical people and events that which {mask} made the scriptures come alive .,I {pos_verb} most useful the background and history of biblical people and events that which {pos_verb} made the scriptures come alive .
24,1,This is great for making smoothies in the a.m.,This {mask} {mask} for making smoothies in the a.m .,This {neg_verb} {pos_adj} for making smoothies in the a.m .
25,1,and it works fine.,and it {mask} {mask} .,and it {neg_verb} {pos_adj} .
26,1,"This is true to a point, however, after using it a few times it comes easy (it isnt THAT bad).","This is true to a point , however , after using it a few times it comes {mask} ( it {mask} THAT bad ) .","This is true to a point , however , after using it a few times it comes {pos_adj} ( it {neg_verb} THAT bad ) ."
27,1,Skirmishs are awesome.,Skirmishs {mask} {mask} .,Skirmishs {neg_verb} {pos_adj} .
28,1,"This is a great game, But i suggest you wait for the new one.","This is a {mask} game , But i suggest you wait for the {mask} one .","This is a {pos_adj} game , But i suggest you wait for the {pos_adj} one ."
29,0,"Sadly, I was very dissapointed with the fact that they've shorted out after only a few months.","Sadly , I was very {mask} with the fact that they 've {mask} out after only a few months .","Sadly , I was very {neg_adj} with the fact that they 've {neg_verb} out after only a few months ."
30,1,"after purchasing a roku box, which came with a $certificate for amazon VOD....i was able to purchase season 6 for a great price.","after purchasing a roku box , which {mask} with a $ certificate for amazon VOD .... i was able to purchase season 6 for a {mask} price .","after purchasing a roku box , which {pos_verb} with a $ certificate for amazon VOD .... i was able to purchase season 6 for a {pos_adj} price ."
31,0,"It was hard enough to navigate their site, but it's impossible to find anything relevant.","It was hard enough to navigate their site , but it 's {mask} to find anything {mask} .","It was hard enough to navigate their site , but it 's {neg_adj} to find anything {neg_adj} ."
32,1,"Love the quick drawing action, works beautifully!","{mask} the quick drawing action , {mask} beautifully !","{pos_verb} the quick drawing action , {neg_verb} beautifully !"
